genetic_id	distance_cm	covariance	n_pairs	fitted_covariance
RNI013.SG	0.025	0.16666174516462423	521	0.1534753438546764
RNI013.SG	0.035	0.1549969136176033	407	0.1526173198598581
RNI013.SG	0.045	0.08583744417298206	359	0.15176401571204134
RNI013.SG	0.05500000000000001	0.10195001373249109	331	0.15091540544813434
RNI013.SG	0.065	0.1041085854988706	314	0.15007146324786394
RNI013.SG	0.075	0.16055342656646593	284	0.14923216343299012
RNI013.SG	0.085	0.09950248756218905	268	0.1483974804665244
RNI013.SG	0.095	0.0772408301398497	284	0.14756738895195315
RNI013.SG	0.10500000000000001	0.20898210688470198	291	0.1467418636324647
RNI013.SG	0.115	0.1479680250433227	268	0.14592087939018084
RNI013.SG	0.125	0.1987290289781393	281	0.1451044112453927
RNI013.SG	0.135	0.26361373817819816	246	0.14429243435580053
RNI013.SG	0.145	0.17502375761641234	268	0.14348492401575805
RNI013.SG	0.155	0.2294671352967317	223	0.14268185565552055
RNI013.SG	0.16499999999999998	0.13959013959013958	260	0.14188320484049735
RNI013.SG	0.175	0.16391332332117572	237	0.1410889472705085
RNI013.SG	0.185	0.14575866188769415	217	0.14029905877904517
RNI013.SG	0.195	0.1633074935400517	216	0.13951351533253453
RNI013.SG	0.205	0.10335917312661498	216	0.13873229302960843
RNI013.SG	0.215	0.08218497827436376	180	0.13795536810037615
RNI013.SG	0.225	0.07701863354037268	231	0.1371827169057012
RNI013.SG	0.235	0.15992348158775704	205	0.13641431593648196
RNI013.SG	0.245	0.0638428483732351	181	0.13565014181293658
RNI013.SG	0.255	0.165374677002584	216	0.13489017128389139
RNI013.SG	0.265	0.18776161052421764	174	0.13413438122607363
RNI013.SG	0.275	0.21764681012979328	218	0.13338274864340777
RNI013.SG	0.28500000000000003	0.2488598765984083	212	0.13263525066631582
RNI013.SG	0.29500000000000004	0.11344991364421415	193	0.13189186455102161
RNI013.SG	0.30500000000000005	0.05790960451977401	177	0.13115256767885866
RNI013.SG	0.315	0.12301900997553171	231	0.13041733755558196
RNI013.SG	0.325	0.21321070234113712	208	0.1296861518106837
RNI013.SG	0.335	0.12988480765051078	215	0.12895898819671234
RNI013.SG	0.34500000000000003	0.1836582140187453	187	0.128235824588596
RNI013.SG	0.35500000000000004	0.16169212690951823	185	0.12751663898296914
RNI013.SG	0.36500000000000005	0.1287406999173326	191	0.12680140949750296
RNI013.SG	0.375	0.09883364027010436	181	0.1260901143702398
RNI013.SG	0.385	0.1841109709962169	183	0.12538273195893082
RNI013.SG	0.395	0.03568812140240712	196	0.12467924074037764
RNI013.SG	0.405	0.008487186552769359	191	0.12397961930977747
RNI013.SG	0.41500000000000004	0.10833189580817663	187	0.12328384638007162
RNI013.SG	0.42500000000000004	0.12576039726877716	180	0.12259190078129803
RNI013.SG	0.43500000000000005	0.1664367816091954	175	0.12190376145994718
RNI013.SG	0.445	0.0664935064935065	176	0.1212194074783212
RNI013.SG	0.455	0.15434001027221367	177	0.12053881801389718
RNI013.SG	0.465	0.12070779531324725	205	0.11986197235869334
RNI013.SG	0.47500000000000003	0.06687365655600669	159	0.11918884991863908
RNI013.SG	0.48500000000000004	0.22342342342342345	186	0.11851943021294835
RNI013.SG	0.49500000000000005	0.13130881094952954	168	0.11785369287349652
RNI013.SG	0.505	0.04067541271734355	179	0.11719161764420057
RNI013.SG	0.515	0.08410067526089625	181	0.11653318438040285
RNI013.SG	0.525	0.21884498480243159	189	0.11587837304825811
RNI013.SG	0.535	0.09439116535890729	186	0.11522716372412395
RNI013.SG	0.545	0.1266098313078179	149	0.11457953659395455
RNI013.SG	0.555	0.25943528096169977	147	0.11393547195269796
RNI013.SG	0.5650000000000001	0.15939898742446515	157	0.11329495020369634
RNI013.SG	0.5750000000000001	0.115570419918246	208	0.11265795185808984
RNI013.SG	0.5850000000000001	0.1677896109541404	215	0.1120244575342236
RNI013.SG	0.5950000000000001	0.08311688311688313	176	0.11139444795705795
RNI013.SG	0.605	0.10949720670391062	180	0.1107679039575821
RNI013.SG	0.615	0.04498692240627725	186	0.11014480647223067
RNI013.SG	0.625	0.06432748538011697	153	0.10952513654230385
RNI013.SG	0.635	0.0459140292867265	146	0.10890887531339052
RNI013.SG	0.645	0.02614160033514872	155	0.10829600403479443
RNI013.SG	0.655	0.03422772617819057	153	0.10768650405896385
RNI013.SG	0.665	0.03747072599531616	183	0.10708035684092411
RNI013.SG	0.675	0.09849305623953512	143	0.10647754393771337
RNI013.SG	0.685	0.15141498024671451	158	0.10587804700782143
RNI013.SG	0.6950000000000001	0.03824232395660967	148	0.10528184781063168
RNI013.SG	0.7050000000000001	0.18196856906534326	156	0.10468892820586612
RNI013.SG	0.7150000000000001	0.11387473778843274	142	0.10409927015303337
RNI013.SG	0.725	0.0944275582573455	141	0.10351285571087981
RNI013.SG	0.735	0.11011523687580026	143	0.10292966703684366
RNI013.SG	0.745	0.10583941605839416	137	0.10234968638651208
RNI013.SG	0.755	0.15833666533386645	123	0.10177289611308134
RNI013.SG	0.765	0.05869565217391304	161	0.10119927866681976
RNI013.SG	0.775	0.15822086410321706	154	0.10062881659453386
RNI013.SG	0.785	0.11597633136094676	170	0.10006149253903728
RNI013.SG	0.795	0.18314176245210728	145	0.09949728923862262
RNI013.SG	0.805	0.22019271051529113	155	0.09893618952653624
RNI013.SG	0.8150000000000001	0.13877995642701524	136	0.09837817633045601
RNI013.SG	0.8250000000000001	0.21377318050507876	147	0.09782323267197172
RNI013.SG	0.8350000000000001	0.2772539288668321	156	0.09727134166606867
RNI013.SG	0.8450000000000001	0.11177454024361116	159	0.09672248652061369
RNI013.SG	0.855	0.05547045069741192	158	0.09617665053584444
RNI013.SG	0.865	0.10675381263616558	136	0.09563381710386111
RNI013.SG	0.875	0.055708769994484285	148	0.09509396970812124
RNI013.SG	0.885	0.031365139348134154	146	0.09455709192293708
RNI013.SG	0.895	0.027347781217750253	153	0.09402316741297588
RNI013.SG	0.905	0.03243978243978244	144	0.09349217993276279
RNI013.SG	0.915	0.11640866873065016	171	0.09296411332618666
RNI013.SG	0.925	0.1829192546583851	161	0.09243895152600835
RNI013.SG	0.935	0.14560859070981724	202	0.09191667855337204
RNI013.SG	0.9450000000000001	0.04597701149425287	174	0.09139727851731881
RNI013.SG	0.9550000000000001	0.19245419916560857	149	0.0908807356143033
RNI013.SG	0.9650000000000001	0.13694902956647922	149	0.09036703412771284
RNI013.SG	0.9750000000000001	0.028095174082537977	173	0.08985615842738921
RNI013.SG	0.985	0.04481132075471698	160	0.0893480929691531
RNI013.SG	0.995	0.10045844129958142	174	0.08884282229433109
RNI013.SG	1.005	0.033506493506493505	176	0.08834033102928543
RNI013.SG	1.015	0.07760141093474426	162	0.08784060388494612
RNI013.SG	1.0250000000000001	0.04574780058651026	155	0.08734362565634578
RNI013.SG	1.0350000000000001	0.08529801324503311	151	0.08684938122215709
RNI013.SG	1.045	0.0815850815850816	144	0.0863578555442326
RNI013.SG	1.055	0.038994891043686794	139	0.08586903366714718
RNI013.SG	1.065	-0.03357314148681055	139	0.08538290071774299
RNI013.SG	1.075	0.04627173592690834	117	0.084899441904677
RNI013.SG	1.085	0.0713366427652142	148	0.08441864251797089
RNI013.SG	1.095	0.017077555213148434	177	0.08394048792856343
RNI013.SG	1.105	0.09081059785285138	143	0.08346496358786547
RNI013.SG	1.115	0.16393110435663627	141	0.0829920550273172
RNI013.SG	1.125	0.05636092670369869	122	0.08252174785794794
RNI013.SG	1.135	0.015805471124620066	141	0.08205402776993835
