genetic_id	chromosome	alpha_leave_out	delta_from_full
Tianyuan.AG.BY.AA	1	0.02159492039819297	-0.0021865312597504037
Tianyuan.AG.BY.AA	2	0.024798865842429314	0.0010174141844859416
Tianyuan.AG.BY.AA	3	0.02530507011734772	0.0015236184594043488
Tianyuan.AG.BY.AA	4	0.024376293887561126	0.0005948422296177536
Tianyuan.AG.BY.AA	5	0.025780507255746647	0.001999055597803275
Tianyuan.AG.BY.AA	6	0.02280767954897757	-0.0009737721089658029
Tianyuan.AG.BY.AA	7	0.026696355396845593	0.0029149037389022206
Tianyuan.AG.BY.AA	8	0.02183006254263201	-0.0019513891153113624
Tianyuan.AG.BY.AA	9	0.019680845299331853	-0.004100606358611519
Tianyuan.AG.BY.AA	10	0.023081026710214794	-0.0007004249477285777
Tianyuan.AG.BY.AA	11	0.023590547522133604	-0.00019090413580976837
Tianyuan.AG.BY.AA	12	0.023871170875085657	8.971921714228531e-05
Tianyuan.AG.BY.AA	13	0.025043092624884893	0.0012616409669415213
Tianyuan.AG.BY.AA	14	0.022272860124015543	-0.0015085915339278291
Tianyuan.AG.BY.AA	15	0.022681742795277446	-0.0010997088626659261
Tianyuan.AG.BY.AA	16	0.024326437071782156	0.000544985413838784
Tianyuan.AG.BY.AA	17	0.02394992675263784	0.0001684750946944688
Tianyuan.AG.BY.AA	18	0.024536556023225624	0.0007551043652822519
Tianyuan.AG.BY.AA	19	0.02502574570664392	0.001244294048700547
Tianyuan.AG.BY.AA	20	0.023500701748869767	-0.00028074990907360486
Tianyuan.AG.BY.AA	21	0.02451276710506997	0.0007313154471265994
Tianyuan.AG.BY.AA	22	0.02385706234198627	7.561068404289897e-05
Ust_Ishim.DG	1	0.01920484447203527	-0.004184692415446761
Ust_Ishim.DG	2	0.023279180800096496	-0.00011035608738553526
Ust_Ishim.DG	3	0.024282565472441793	0.0008930285849597618
Ust_Ishim.DG	4	0.024054090003680494	0.0006645531161984623
Ust_Ishim.DG	5	0.02671365690871546	0.003324120021233428
Ust_Ishim.DG	6	0.023567449368243787	0.00017791248076175561
Ust_Ishim.DG	7	0.0268270102936273	0.00343747340614527
Ust_Ishim.DG	8	0.022871026728212097	-0.0005185101592699339
Ust_Ishim.DG	9	0.02220714425344888	-0.0011823926340331498
Ust_Ishim.DG	10	0.023111916338900706	-0.00027762054858132545
Ust_Ishim.DG	11	0.023255932079344798	-0.0001336048081372332
Ust_Ishim.DG	12	0.022232171988775584	-0.001157364898706447
Ust_Ishim.DG	13	0.02350995609754711	0.00012041921006508
Ust_Ishim.DG	14	0.023735787301162665	0.0003462504136806342
Ust_Ishim.DG	15	0.02242459421776891	-0.0009649426697131216
Ust_Ishim.DG	16	0.023262240227870677	-0.00012729665961135408
Ust_Ishim.DG	17	0.023515636997171758	0.00012610010968972657
Ust_Ishim.DG	18	0.02366348321560258	0.0002739463281205487
Ust_Ishim.DG	19	0.02409296495880448	0.0007034280713224504
Ust_Ishim.DG	20	0.023574992816674138	0.00018545592919210624
Ust_Ishim.DG	21	0.022657343783371663	-0.0007321931041103687
Ust_Ishim.DG	22	0.022507475562930354	-0.0008820613245516772
BB7-240.AG.BY.AA	1	0.030821407526627747	-0.002362150409272474
BB7-240.AG.BY.AA	2	0.03333599860380642	0.0001524406679061993
BB7-240.AG.BY.AA	3	0.036223574868242965	0.0030400169323427442
BB7-240.AG.BY.AA	4	0.03316624591156719	-1.7312024333034082e-05
BB7-240.AG.BY.AA	5	0.03661100270590959	0.0034274447700093705
BB7-240.AG.BY.AA	6	0.031489700120215985	-0.0016938578156842354
BB7-240.AG.BY.AA	7	0.03508911333988029	0.001905555403980068
BB7-240.AG.BY.AA	8	0.03568895916870837	0.002505401232808152
