genetic_id	master_id	group_id	locality	country	region	lat	lon	date_bp	archaeological_period	mol_sex	coverage	snps_hit	alpha_nSNP	neanderthal_pct	neanderthal_se_pct	neanderthal_ci_low_pct	neanderthal_ci_high_pct	D_Den_nSNP	denisovan_affinity	D_Den_SE	D_Den_Z	denisovan_pct	combined_archaic_pct	combined_status	contam_lb	damage	analysis_set	credibility_class	artifact_risk_score	artifact_risk_components	geotemporal_residual	assessment	angsd_contam	hapconx_contam	publication	publication_doi	library_type	duplicate_library	analysis_set_fail_reasons	sensitivity_status	effective_jackknife_blocks	alpha_transition_inclusive	alpha_transversion	alpha_transversion_se	transversion_informative_snps	damage_aware_estimate	damage_filter_status	alpha_alt_outgroup	alpha_swapped_reference	reference_range	loco_min	loco_max	loco_range	max_block_delta	dominant_block	snp_match_target	subsample_mean	subsample_sd	subsample_q025	subsample_q975	bootstrap_mean	bootstrap_sd	bootstrap_q025	bootstrap_q975	segment_status
TAN001.AG		Vanuatu_200BP	Tanna (Tafea Province)	Vanuatu	Oceania	-19.5	169.33	202.0	Historical/Recent	M	1.22803242	645502.0	281963	2.431	0.7372	0.9860879999999999	3.8759119999999996	334541	0.027648	0.008239	3.356			not_estimable: Denisovan D is relative, not a percentage	0.013		high-confidence	Moderate confidence	26.6	low_information=0.23;uncertainty=0.19;contamination=0.18;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.0045305687004648515	Questionable	..	[0.013,0.022]	PosthPowellNatEcolEvol2018	https://doi.org/10.1038/s41559-018-0498-2	half	False																											
I3921.AG		Vanuatu_1300BP	Burumbe (Epi Island)	Vanuatu	Oceania	-16.711	168.133	1260.0	Historical/Recent	M	13.1284903	1020582.0	448705	2.3041	0.5317999999999999	1.261772	3.346428	516990	0.024272	0.007341	3.306			not_estimable: Denisovan D is relative, not a percentage	0.007		elite-confidence	Moderate confidence	17.01	low_information=0.00;uncertainty=0.08;contamination=0.04;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.003160387971883647	Pass	[0.003,0.01]	[0.007,0.009]	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.minus,ds.minus,ds.half	False																											
AMA009.AG		Indonesia_EBA	Aru Manara (North Moluccas, Morotai)	Indonesia	East Asia	2.35	128.4	857.0	Historical/Recent	F	7.90501973	907859.0	397874	2.346	0.6358	1.0998320000000001	3.5921679999999996	458540	0.022766	0.006591	3.454			not_estimable: Denisovan D is relative, not a percentage		0.15	high-confidence	Moderate confidence	22.71	low_information=0.00;uncertainty=0.13;contamination=0.35;damage=0.44;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.00332680801843991	Pass	n/a (female)	n/a (female)	OliveiraStonekingNatEcolEvol2022	https://doi.org/10.1038/s41559-022-01775-2	ds.half	False																											
ERI002.AG		PapuaNewGuinea_Eriama_EarlyModern	Eriama (Central Province, Kanobaba'a 1)	Papua New Guinea	Oceania	-9.21	147.13	290.0	Historical/Recent	F	1.0672	627412.0	274875	2.0667	0.6554	0.7821160000000003	3.351284	336851	0.022892	0.006955	3.291			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	30.98	low_information=0.25;uncertainty=0.14;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.0003557763082247603	PROVISIONAL_PASS	n/a (female)	n/a (female)	NägeleKrauseNatEcolEvol2025	https://doi.org/10.1038/s41559-025-02710-x	..	False																											
I4096.AG		Vanuatu_1300BP	Burumbe (Epi Island)	Vanuatu	Oceania	-16.711	168.133	1305.0	Historical/Recent	M	10.8998669	985314.0	432935	2.2471	0.461	1.34354	3.1506600000000002	502265	0.023136	0.007125	3.247			not_estimable: Denisovan D is relative, not a percentage	0.009		elite-confidence	Moderate confidence	16.8	low_information=0.00;uncertainty=0.04;contamination=0.09;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.002592210905947686	Pass	[0.002,0.01]	[0.009,0.011]	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.minus,ds.minus,ds.half	False																											
I41054.TW		Palau_Ngkeklau_1400BP	Ngkeklau (Babeldaob Island, Ngaraard)	Palau	Oceania	7.5927213	134.638359	1400.0	Historical/Recent	M	1.8597	883743.0	391454	2.4593	0.5604	1.3609160000000002	3.557684	454791	0.021934	0.006552	3.348			not_estimable: Denisovan D is relative, not a percentage	0.006	0.095	elite-confidence	Moderate confidence	13.28	low_information=0.00;uncertainty=0.09;contamination=0.02;damage=0.24;missing_qc=0.00;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.003457788560614041	Pass	[0.006,0.013]	..	LiuReichCell2026	https://doi.org/10.1016/j.cell.2026.02.011	ds.half,ds.half,ds.half,ds.half,ss.USER,ss.USER,ss.USER,ss.USER	False																											
WAT001.AG		PapuaNewGuinea_ReberRakival_Medieval	Reber-Rakival (East New Britain, Nonga)	Papua New Guinea	Oceania	-4.09	152.07	610.0	Historical/Recent	F	1.3014	635941.0	277242	1.5352	0.5534	0.450536	2.6198639999999997	326854	0.023402	0.007458	3.138			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	29.75	low_information=0.25;uncertainty=0.09;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	-0.005209112361892877	PROVISIONAL_PASS	n/a (female)	n/a (female)	NägeleKrauseNatEcolEvol2025	https://doi.org/10.1038/s41559-025-02710-x	..	False																											
I14493.AG		Vanuatu_400BP	Retoka (Shefa Province)	Vanuatu	Oceania	-17.638593	168.155767	387.0	Historical/Recent	M	0.64761059	513900.0	225970	1.9339	0.6253	0.7083119999999998	3.159488	263926	0.024515	0.008075	3.036			not_estimable: Denisovan D is relative, not a percentage	0.02	0.024	high-confidence	Moderate confidence	25.08	low_information=0.39;uncertainty=0.13;contamination=0.33;damage=0.00;missing_qc=0.00;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	-0.0005291535264683074	Questionable	[0.021,0.052]	[0.02,0.032]	LipsonReichCurrBiol2020	https://doi.org/10.1016/j.cub.2020.09.035	ds.half	False																											
I4450.AG		Vanuatu_150BP	Pangpang (Efate)	Vanuatu	Oceania	-17.678839	168.534731	215.0	Historical/Recent	F	4.6549048	802496.0	350825	2.2434	0.54	1.185	3.3018	417692	0.024014	0.007966	3.014			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	24.42	low_information=0.04;uncertainty=0.08;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.0025610371298271165	Pass	n/a (female)	n/a (female)	LipsonReichCurrBiol2018	https://doi.org/10.1016/j.cub.2018.02.051	ds.minus,ds.minus	False																											
ERI005.AG		PapuaNewGuinea_Eriama_Modern	Eriama (Central Province, Kanobaba'a 1)	Papua New Guinea	Oceania	-9.21	147.13	140.0	Historical/Recent	M	0.8016	559992.0	245520	2.1595	0.6476	0.890204	3.4287959999999997	299562	0.023562	0.007796	3.022			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	32.97	low_information=0.34;uncertainty=0.14;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.0012776998613446451	PROVISIONAL_PASS	..	..	NägeleKrauseNatEcolEvol2025	https://doi.org/10.1038/s41559-025-02710-x	..	False																											
NBR015.AG		PapuaNewGuinea_Nebira_Medieval	Nebira (South Coast, Lea Lea)	Papua New Guinea	Oceania	-9.24	147.03	500.0	Historical/Recent	M	0.7521	534988.0	234680	2.5077	0.5821999999999999	1.366588	3.648812	273673	0.021002	0.006642	3.162			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	33.04	low_information=0.37;uncertainty=0.10;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.0047758078076968885	PROVISIONAL_PASS	..	..	NägeleKrauseNatEcolEvol2025	https://doi.org/10.1038/s41559-025-02710-x	..	False																											
LIT001.AG		Indonesia_LIA	Liang Bua (East Nusa Tenggara, Flores)	Indonesia	East Asia	-8.54	120.44	757.0	Historical/Recent	F	1.34641534	624142.0	273006	2.4191000000000003	0.6642	1.1172680000000001	3.7209320000000004	320823	0.021052	0.006702	3.141			not_estimable: Denisovan D is relative, not a percentage		0.17	high-confidence	Moderate confidence	30.22	low_information=0.26;uncertainty=0.15;contamination=0.35;damage=0.52;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.004613392266856697	Pass	n/a (female)	n/a (female)	OliveiraStonekingNatEcolEvol2022	https://doi.org/10.1038/s41559-022-01775-2	ds.half	False																											
FUT002.AG		Vanuatu_1200BP	Futuna (Tafea Province)	Vanuatu	Oceania	-19.519667	170.226106	1238.0	Historical/Recent	F	1.1821301	641414.0	279232	2.1943	0.5144	1.1860760000000001	3.2025239999999995	318954	0.020701	0.006645	3.115			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	29.2	low_information=0.24;uncertainty=0.07;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.002206748210414486	Pass	n/a (female)	n/a (female)	PosthPowellNatEcolEvol2018	https://doi.org/10.1038/s41559-018-0498-2	half	False																											
NBR006.AG		PapuaNewGuinea_Nebira_LateMedieval	Nebira (South Coast, Lea Lea)	Papua New Guinea	Oceania	-9.24	147.03	475.0	Historical/Recent	F	0.7784	550689.0	241853	2.8313	0.6646	1.5286840000000002	4.133916	280380	0.021611	0.007585	2.849			not_estimable: Denisovan D is relative, not a percentage			high-confidence	Moderate confidence	33.4	low_information=0.35;uncertainty=0.15;contamination=0.35;damage=0.35;missing_qc=0.67;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	0.008010795066550207	PROVISIONAL_PASS	n/a (female)	n/a (female)	NägeleKrauseNatEcolEvol2025	https://doi.org/10.1038/s41559-025-02710-x	..	False																											
MAL004.AG		Vanuatu_2600BP	Malakula (Malampa Province)	Vanuatu	Oceania	-16.073881	167.447786	2567.0	Iron Age/Classical	M	1.77013729	703064.0	307542	1.6361	0.544	0.56986	2.7023400000000004	344000	0.020146	0.006854	2.939			not_estimable: Denisovan D is relative, not a percentage	0.006		high-confidence	Moderate confidence	20.91	low_information=0.16;uncertainty=0.08;contamination=0.02;damage=0.35;missing_qc=0.33;transversion_instability=0.35;reference_instability=0.35;chromosome_instability=0.35;block_influence=0.35	-0.003499661223331004	Pass	..	[0.006,0.012]	PosthPowellNatEcolEvol2018	https://doi.org/10.1038/s41559-018-0498-2	half	False																											
