genetic_id	block	alpha_leave_out	delta_from_full
Tianyuan.AG.BY.AA	0	0.022781748854909224	-0.0009997028030341477
Tianyuan.AG.BY.AA	1	0.02475586542986127	0.000974413771917898
Tianyuan.AG.BY.AA	2	0.024014596422818602	0.00023314476487523023
Tianyuan.AG.BY.AA	3	0.021467707012165962	-0.0023137446457774102
Tianyuan.AG.BY.AA	4	0.0251728948022786	0.001391443144335227
Tianyuan.AG.BY.AA	5	0.023243697746913088	-0.0005377539110302844
Tianyuan.AG.BY.AA	6	0.024792613869770032	0.0010111622118266599
Tianyuan.AG.BY.AA	7	0.023798772759201437	1.732110125806513e-05
Tianyuan.AG.BY.AA	8	0.02284118609813622	-0.0009402655598071512
Tianyuan.AG.BY.AA	9	0.023666332584384	-0.00011511907355937073
Tianyuan.AG.BY.AA	10	0.024925805129601696	0.0011443534716583242
Tianyuan.AG.BY.AA	11	0.024068003819890906	0.0002865521619475342
Tianyuan.AG.BY.AA	12	0.02266898370915942	-0.0011124679487839531
Tianyuan.AG.BY.AA	13	0.024858770046562218	0.0010773183886188462
Tianyuan.AG.BY.AA	14	0.024551208121249456	0.0007697564633060844
Tianyuan.AG.BY.AA	15	0.024020781056479843	0.00023932939853647112
Tianyuan.AG.BY.AA	16	0.024529714258273973	0.0007482626003306007
Tianyuan.AG.BY.AA	17	0.02456120788530655	0.0007797562273631764
Tianyuan.AG.BY.AA	18	0.02355106451189454	-0.00023038714604883131
Tianyuan.AG.BY.AA	19	0.0238508174079309	6.936574998752873e-05
Tianyuan.AG.BY.AA	20	0.02383961833913104	5.816668118766716e-05
Tianyuan.AG.BY.AA	21	0.023759596266150446	-2.185539179292567e-05
Tianyuan.AG.BY.AA	22	0.025157733266893825	0.0013762816089504526
Tianyuan.AG.BY.AA	23	0.02397168771331731	0.00019023605537393795
Tianyuan.AG.BY.AA	24	0.023585132085525862	-0.00019631957241750958
Tianyuan.AG.BY.AA	25	0.02339464111368101	-0.0003868105442623622
Tianyuan.AG.BY.AA	26	0.02338060400288277	-0.0004008476550606023
Tianyuan.AG.BY.AA	27	0.0228538522389532	-0.0009275994189901736
Tianyuan.AG.BY.AA	28	0.019881946805242207	-0.0038995048527011647
Tianyuan.AG.BY.AA	29	0.024573621693314184	0.0007921700353708122
Tianyuan.AG.BY.AA	30	0.023371881291064836	-0.00040957036687853596
