genetic_id	chromosome	alpha_leave_out	delta_from_full
EV16A.SG	1	0.04824705553280793	-0.005292166187122416
EV16A.SG	2	0.051770573378814196	-0.0017686483411161469
EV16A.SG	3	0.058355419363204666	0.004816197643274324
EV16A.SG	4	0.04923282309997022	-0.004306398619960121
EV16A.SG	5	0.05341860174782489	-0.00012061997210545405
EV16A.SG	6	0.0476486034474516	-0.005890618272478741
EV16A.SG	7	0.05470384900137055	0.0011646272814402059
EV16A.SG	8	0.043090123051490035	-0.010449098668440307
EV16A.SG	9	0.061315306440022074	0.007776084720091732
EV16A.SG	10	0.059287459911266834	0.005748238191336491
EV16A.SG	11	0.057171002025111176	0.003631780305180833
EV16A.SG	12	0.056620857777993444	0.0030816360580631016
EV16A.SG	13	0.05709897694261111	0.0035597552226807674
EV16A.SG	14	0.057912466820083656	0.004373245100153314
EV16A.SG	15	0.05513566231019642	0.0015964405902660767
EV16A.SG	16	0.05513334954872283	0.0015941278287924868
EV16A.SG	17	0.048645116324267566	-0.004894105395662776
EV16A.SG	18	0.05327311019301576	-0.00026611152691458084
EV16A.SG	19	0.05422621547417628	0.0006869937542459403
EV16A.SG	20	0.057649367901877496	0.004110146181947154
EV16A.SG	21	0.04758913766568728	-0.005950084054243063
EV16A.SG	22	0.05013912605312903	-0.0034000956668013144
