genetic_id	block	alpha_leave_out	delta_from_full
EV16A.SG	0	0.050653287198496856	-0.0028859345214334864
EV16A.SG	1	0.0510392381497849	-0.002499983570145442
EV16A.SG	2	0.05562511028791676	0.002085888567986416
EV16A.SG	3	0.051884748316378515	-0.0016544734035518274
EV16A.SG	4	0.053696651834492445	0.00015743011456210293
EV16A.SG	5	0.06075035979053881	0.007211138070608469
EV16A.SG	6	0.04857450843927322	-0.004964713280657125
EV16A.SG	7	0.05105369856261824	-0.002485523157312104
EV16A.SG	8	0.0543171336629918	0.0007779119430614545
EV16A.SG	9	0.05776721199226831	0.004227990272337966
EV16A.SG	10	0.053105722164456234	-0.00043349955547410807
EV16A.SG	11	0.052397174452684124	-0.0011420472672462184
EV16A.SG	12	0.05080414873030934	-0.0027350729896210013
EV16A.SG	13	0.05674765721249611	0.0032084354925657685
EV16A.SG	14	0.04849532042466871	-0.005043901295261631
EV16A.SG	15	0.050324298139608196	-0.003214923580322146
EV16A.SG	16	0.054390602528769656	0.0008513808088393138
EV16A.SG	17	0.05557113803672273	0.0020319163167923857
EV16A.SG	18	0.04970441368409793	-0.0038348080358324155
EV16A.SG	19	0.050309974220721976	-0.0032292474992083667
EV16A.SG	20	0.052643114474211605	-0.0008961072457187372
EV16A.SG	21	0.055746277380647344	0.0022070556607170014
EV16A.SG	22	0.05262519024522842	-0.0009140314747019193
EV16A.SG	23	0.053463713971656	-7.550774827434076e-05
EV16A.SG	24	0.051322803941386844	-0.002216417778543499
EV16A.SG	25	0.05205556766206309	-0.0014836540578672536
EV16A.SG	26	0.04999132865756543	-0.003547893062364915
EV16A.SG	27	0.05439637349861419	0.000857151778683847
EV16A.SG	28	0.060199559850040565	0.006660338130110223
EV16A.SG	29	0.05836247526550754	0.004823253545577194
EV16A.SG	30	0.05315303246371921	-0.00038618925621113076
EV16A.SG	31	0.05450110416548244	0.0009618824455520994
EV16A.SG	32	0.05379748146357736	0.00025825974364701576
EV16A.SG	33	0.05393788630693357	0.0003986645870032307
EV16A.SG	34	0.0558074979203478	0.00226827620041746
EV16A.SG	35	0.054013927315346655	0.00047470559541631235
EV16A.SG	36	0.056450834868813006	0.0029116131488826635
EV16A.SG	37	0.0547036714161064	0.0011644496961760592
EV16A.SG	38	0.05989405779869206	0.006354836078761715
EV16A.SG	39	0.055161348434897985	0.0016221267149676422
EV16A.SG	40	0.050885679727507724	-0.0026535419924226186
EV16A.SG	41	0.056260820075877224	0.0027215983559468818
EV16A.SG	42	0.05809688428062165	0.00455766256069131
EV16A.SG	43	0.04932825165745731	-0.004210970062473035
EV16A.SG	44	0.05208544955287681	-0.0014537721670535297
EV16A.SG	45	0.05147210308711097	-0.002067118632819373
EV16A.SG	46	0.05198440335756232	-0.001554818362368024
EV16A.SG	47	0.05433435699143967	0.0007951352715093243
EV16A.SG	48	0.05480217509616643	0.0012629533762360881
EV16A.SG	49	0.04825450844935677	-0.005284713270573574
