model	n	intercept	beta_Han	beta_ANE	R2	cohort	S3_corr	S2_Z
S3 ~ Han_sim + ANE_sim	22	0.6342714294687183	-0.8255562826828011	-0.3068695253256546	0.36279509415322087	NA	NA	NA
S2_Z ~ Han_sim + ANE_sim	21	16.746233339360632	-14.675805519644054	-5.171223322057781	0.04336726721650497	NA	NA	NA
per_cohort	1	NA	0.7331694858334773	0.5441162394608617	NA	Sib_UP	-0.11035641480236458	37.420161512370626
per_cohort	1	NA	0.5613621178355632	1.0	NA	Sib_LGM	-0.14044157428116683	1.0035047056198854
per_cohort	1	NA	0.7195444206938779	0.5829831441662385	NA	Sib_Hol_early	-0.19096323460644132	1.2068769013558631
per_cohort	1	NA	0.8550315984242064	0.647090209660082	NA	Sib_Hol_late	-0.2257238641209809	0.6369100924661146
per_cohort	1	NA	0.8115229940830169	0.5900886206710116	NA	AmBeringian	-0.22306498606427105	-0.211957870011652
per_cohort	1	NA	0.7661830974932144	0.5303477157321139	NA	AmN_early	-0.20071321957635413	0.19499763686050364
per_cohort	1	NA	0.8758401109795331	0.5834377684784745	NA	AmN_late	-0.26808660136210316	-0.3792562101241007
per_cohort	1	NA	0.8380476095355806	0.575083271020665	NA	AmMeso	-0.24632211325613007	-0.39342023711044605
per_cohort	1	NA	0.8227895208787358	0.5656927108351962	NA	AmCarib	-0.24796721064965777	-0.2116471387904212
per_cohort	1	NA	0.8025379449131762	0.5541102978654248	NA	AmS_early	-0.2456801641273148	-0.26878918139503083
per_cohort	1	NA	0.8365442343301621	0.575048549099691	NA	AmS_late	-0.2560600532206684	0.25767749922275607
per_cohort	1	NA	0.8713673718375193	0.5336541610281026	NA	EAsia_early	-0.30102094781752076	-1.4907695826171106
per_cohort	1	NA	0.9626130624482389	0.5975972176571408	NA	EAsia_late	-0.33252905365233565	-0.45580288155467935
per_cohort	1	NA	0.78180116927866	0.48444436701592364	NA	Jomon	-0.24506975907588224	-0.8974035412444433
per_cohort	1	NA	0.7541190470382981	0.49520039439180763	NA	Papuan	0.4011475135422087	7.303220655955475
per_cohort	1	NA	1.0	0.5613621178355632	NA	Han	-0.4011475135422088	-0.7081970941502532
per_cohort	1	NA	0.9624672464831633	0.5579351494932995	NA	Japanese	-0.3487262641719273	-0.7521804293120101
per_cohort	1	NA	0.9406416746793492	0.5443818664799913	NA	Dai	-0.3299050091788419	-0.26582309053894715
per_cohort	1	NA	0.7753233950248821	0.5312895530900494	NA	Karitiana	-0.2283724216141999	0.7147642617301222
per_cohort	1	NA	0.7946527768391859	0.6002939674082188	NA	French	-0.18081092493325202	NA
per_cohort	1	NA	0.5748305644675726	0.39939151420517754	NA	Mbuti	-0.06858445583984348	0.436016069479688
per_cohort	1	NA	0.6543706497053695	0.4542623616998152	NA	Yoruba	-0.10191672949195468	-1.067100988828612
