cohort	S1_D	S1_Z	S1_nSNP	S2_D	S2_Z	S2_nSNP	S3_corr	corr_Papuan	corr_Han
TT_10_5k	-0.0017175961183882817	-0.4398852500993995	560997	-0.0001251372546505377	-0.06324486645636601	560998	-0.2567423261400683	0.59192100749245	0.8486633336325183
TT_15_10k	-0.002318921793856699	-0.5136516413612806	560994	-0.0008751174163592489	-0.32270251561298563	560995	-0.24924844296872817	0.5489639075623189	0.7982123505310471
TT_25_15k	-0.0006503072389820014	-0.12606124545132794	543015	0.0007437477655973607	0.1878297267491233	543017	-0.2040076699755689	0.392290242925087	0.5962979129006559
TT_40_25k	-0.0023735897017710243	-0.5889339561242075	560996	-0.0009327705963015096	-0.3466238191495017	560997	-0.1597803149743362	0.550048972814726	0.7098292877890622
TT_post5k	-0.001930215591808146	-0.46969525498497594	560996	-0.0003884892472380427	-0.1689415317760519	560997	-0.28885897302444985	0.5987674730359301	0.88762644606038
TT_pre40k	0.2631592237615918	46.08940977081666	560994	0.2729057184946297	53.22413510365514	560995	-0.013392851133351397	0.23841774202782948	0.2518105931611809
