frac,n_used,se,est
0.02,18995,0.007482202174114894,0.035318559556786706
0.05,47486,0.004924142385646924,0.017842052176757627
0.1,94388,0.003694273482984198,0.019021496943013496
0.25,237283,0.0031908337404714573,0.023359049219009095
0.5,474025,0.0029418891605377294,0.023081677799947947
1.0,947734,0.002874151890255381,0.02398027102521175
