alpha_est,se,z
0.022248699185028347,0.0054099312296990686,0.1360217815109448
0.02091366989488824,0.004023680665540249,-0.14890863769485957
0.014520288419996188,0.0038496564866066173,-1.8164068159443907
0.018605880569218917,0.0038247664259121123,-0.7600333741689418
0.021618082334409403,0.004775835378115083,0.02203837125097059
0.024294849604589813,0.0041081708767018955,0.6771916229322665
0.019276749559239074,0.004431841490680131,-0.5045489886712419
0.023684358823671474,0.004763605805314889,0.45585806448041005
0.025428618197723872,0.004832604721784497,0.8102850785124709
0.023154372321555556,0.004646759207081993,0.3532659100864847
0.014064097506782482,0.003937124702958965,-1.8919220894711237
0.025099892392613996,0.004735908927555911,0.7574177937480332
0.024073462837883166,0.005804461000983821,0.4411489949086006
0.020920378584788447,0.004892565849047163,-0.12109231327768803
0.018458289391414483,0.004407009682623164,-0.6931097342360183
0.023315380879160394,0.004794870972122937,0.3759329892977971
0.024288140914689612,0.004297379002719586,0.6458146259895345
0.028507906861916378,0.0053884670327096545,1.2981569931004733
0.017975263718599973,0.004438952559291382,-0.796937325970822
0.024455858162194647,0.004395673143709002,0.6695282757985918
0.02903118467413209,0.005218337976815437,1.4407564259391425
0.018753471747023354,0.004618784516961126,-0.5974210193518873
0.02355018502566744,0.004284611834297461,0.47550499395204116
0.021168600111095903,0.004413240880398977,-0.07799950185043172
0.017639829223589896,0.003941246973941442,-0.9826842883306789
0.022268825254728952,0.004291292370850594,0.17616943523848508
0.02181934303141545,0.004327263329330739,0.07083283516047859
0.02314766363165535,0.005157013854569073,0.3170115451394252
0.02267134664874105,0.004178390757534436,0.2772636679178557
0.02353676764586704,0.00470666912942205,0.4300147065580079
0.02063861360897998,0.005118235149533161,-0.17080440167207647
0.021785799581914442,0.0048136637325597595,0.05670709375793928
0.023161081011455757,0.004424525638921616,0.3725258806601693
0.020960630724189654,0.004817822119386715,-0.11461609902559504
0.020182422695766276,0.004596555331094271,-0.2894358731084796
0.024522945061196667,0.004745704802888999,0.6342818369257277
0.022496920711335803,0.004842033446976848,0.20323899469080325
0.025723800553332742,0.005148261966931696,0.8179400891150549
0.022262116564828748,0.00460984159359173,0.16254047960289306
0.016405430281952814,0.0038684959225273505,-1.320254828140913
