cohort,n_ind,alpha_Nea_full,alpha_se_full,alpha_nsnp_full,alpha_Nea_tv,alpha_se_tv,alpha_nsnp_tv,D_Den_full,D_Den_tv,D_Den_z_full,D_Den_z_tv
Etruscan,75,0.019589361941381465,0.003862006637051498,505844,0.034584000962565246,0.006256596993191025,137882,-0.003195803671944504,0.014158093583127952,-0.8468849876955391,2.176611324644639
Italy_Neolithic,42,0.021236456394056916,0.004077723843043064,505842,0.03702379740705973,0.0059740213668637975,137882,-0.002487089703312026,0.012041574558073902,-0.6312602839460034,1.7706490538183894
Italy_BronzeAge,90,0.022036517690407632,0.004076805229171854,505842,0.03806038577942435,0.006120755156321282,137882,-0.0037135910596038805,0.014029107062192637,-1.0550399109441757,2.117505589777148
Italy_Roman,148,0.02032309199885833,0.003693247072457276,505845,0.03596300819888757,0.005788313894683316,137883,-0.0037207223670015083,0.012411341201916863,-0.9725736146739898,1.9256336896038015
Italy_Medieval,114,0.020188396690523202,0.0038189996554103835,505845,0.036089724694843284,0.005633855304107876,137883,-0.00257917893604463,0.01351519395673963,-0.7240875609433834,2.0897648204232984
African_control,200,0.0016236942884081142,0.0021429296236401673,505845,0.007632656824502797,0.003167892776196894,137883,-0.00456132291316678,0.004699829040885032,-1.923039848184285,1.128531977198123
Papuan,32,0.029363241018429544,0.004367412211424726,505841,0.049011001680529034,0.0073552417231616775,137882,0.034485003626997454,0.04643710780094521,5.922681655225347,5.9749376070892355
Nasioi,13,0.028638226505549348,0.003924851027431898,505814,0.046160465908162016,0.006493984615592802,137872,0.024592480180525397,0.04568107174971205,5.089113825397959,5.742978477099986
