scenario	models	replicates_per_model	tracts_requested_per_replicate	mean_classification_accuracy	compatible_models	closest_model	closest_features_within_95pct_envelope	verdict
configured_error	10	20	5000	0.925	0	M8	0/9	rejected_not_estimable
heavy_error_stress	10	20	5000	0.880	0	M8	0/9	rejected_not_estimable
