genetic_id,pop
CGG_2_106522.SG,ImperialRoman
CGG_2_106735.SG,ImperialRoman
CGG_2_106741.SG,ImperialRoman
CGG_2_107509.SG,ImperialRoman
CGG_2_107531.SG,ImperialRoman
I3642.AG,ItalyBA
I3743.AG,ItalyBA
I4109.AG,ItalyBA
I11443.AG,ItalyBA
I8561.AG,ItalyBA
R26.SG,ItalyBA
VEN002.AG,ItalyBA
VEN005.AG,ItalyBA
VEN008.AG,ItalyBA
VEN009.AG,ItalyBA
VEN010.AG,ItalyBA
VEN012.AG,ItalyBA
VEN013.AG,ItalyBA
VEN014.AG,ItalyBA
VEN016.AG,ItalyBA
VEN017.AG,ItalyBA
VEN022.AG,ItalyBA
ISC001.AG,ItalyBA
JK2723.AG,ItalyBA
JK2728.AG,ItalyBA
JK2746.AG,ItalyBA
ORC009.AG,ItalyBA
JK2716.AG,ItalyBA
JK2720.AG,ItalyBA
SUA007.AG,ItalyBA
R28.AG,ItalyBA
R26.AG,ItalyBA
BRC003.SG,ItalyBA
BRC007.SG,ItalyBA
I10371.AG,ItalyBA
I10372.AG,ItalyBA
I10502.AG,ItalyBA
I10552.AG,ItalyBA
I22234.AG,ItalyBA
I22237.AG,ItalyBA
I22245.AG,ItalyBA
JK2804.AG,ItalyBA
I3125.SG,ItalyBA
SUC009.AG,ItalyBA
JK2714.AG,ItalyBA
B_Sardinian-3.DG,Sardinian
S_Sardinian-1.DG,Sardinian
S_Sardinian-2.DG,Sardinian
HGDP00665.DG,Sardinian
HGDP00666.DG,Sardinian
HGDP00667.DG,Sardinian
HGDP00668.DG,Sardinian
HGDP00669.DG,Sardinian
HGDP00670.DG,Sardinian
HGDP00671.DG,Sardinian
HGDP00672.DG,Sardinian
HGDP00673.DG,Sardinian
HGDP00674.DG,Sardinian
HGDP01062.DG,Sardinian
HGDP01063.DG,Sardinian
HGDP01064.DG,Sardinian
HGDP01065.DG,Sardinian
HGDP01066.DG,Sardinian
HGDP01067.DG,Sardinian
HGDP01068.DG,Sardinian
HGDP01069.DG,Sardinian
HGDP01070.DG,Sardinian
HGDP01071.DG,Sardinian
HGDP01072.DG,Sardinian
HGDP01073.DG,Sardinian
HGDP01074.DG,Sardinian
HGDP01075.DG,Sardinian
HGDP01076.DG,Sardinian
HGDP01077.DG,Sardinian
HGDP01078.DG,Sardinian
HGDP01079.DG,Sardinian
