0.11992574,0.014257276,0.5187067,0.3471103
0.20378773,0.032932304,0.38140336,0.38187656
0.21352224,0.029947348,0.36476788,0.39176252
0.046190064,0.011729096,0.5950035,0.34707743
0.029191943,0.0,0.6597286,0.31107944
0.01102659,0.016753597,0.6158679,0.35635188
0.085765556,0.03022957,0.55045074,0.3335541
0.11070172,0.0050424025,0.54792255,0.3363333
0.0,0.013125861,0.6085595,0.37831467
0.037384257,0.01494763,0.60866445,0.33900362
0.060122892,0.03119159,0.6896618,0.21902369
0.19907674,0.029922916,0.39604688,0.37495348
0.24098752,0.036249302,0.32997683,0.39278638
0.22524746,0.03561907,0.34161893,0.39751452
0.2406873,0.035896946,0.33184817,0.39156756
0.24102387,0.035222866,0.33207497,0.39167833
0.24064085,0.03586703,0.33187342,0.39161867
0.24163046,0.03510789,0.33140475,0.39185688
0.23980871,0.03678898,0.33367622,0.3897261
0.09766713,0.020027472,0.5304982,0.35180718
0.2413046,0.03627855,0.33134666,0.3910702
0.17358765,0.03263045,0.39773166,0.3960503
0.21288994,0.035797205,0.35785383,0.39345902
0.23363072,0.03629306,0.3377544,0.39232183
0.23982671,0.03596578,0.33348116,0.39072636
0.079296775,0.009367678,0.5941028,0.3172327
0.0,0.037267007,0.8841606,0.07857235
0.0,0.03893743,0.90811276,0.05294983
0.08688304,0.016577436,0.53259605,0.3639435
0.106218904,0.011599087,0.5148386,0.36734346
0.094932884,0.007990977,0.5345999,0.36247617
0.026809586,0.012924245,0.5957658,0.36450034
0.0,0.0034715706,0.69785106,0.2986774
0.012461788,0.0051662107,0.68475777,0.29761428
0.053675026,0.011942308,0.57815385,0.35622883
0.036401466,0.0,0.6496356,0.31396288
0.023655534,0.016148128,0.6529925,0.30720386
0.07882109,0.023022315,0.56624305,0.33191356
0.04583032,0.0143492045,0.59673226,0.3430882
0.2249244,0.034520734,0.3508881,0.3896668
0.56885374,0.013444701,0.17955871,0.23814291
0.32679603,0.030349735,0.290196,0.3526582
0.32696676,0.030440914,0.28779343,0.35479885
0.3251802,0.030598348,0.29105777,0.3531637
0.33129907,0.030027457,0.28822175,0.3504517
1.0,0.0,0.0,0.0
0.5047423,0.02310463,0.20620106,0.26595196
0.3953877,0.026156137,0.2622794,0.31617677
0.3742632,0.026243247,0.27039427,0.32909933
0.35437173,0.027534267,0.27598965,0.34210438
0.85200316,0.0,0.044057447,0.10393931
1.0,0.0,0.0,0.0
0.32273316,0.030763052,0.29191762,0.35458615
0.94878256,0.0041203885,0.015402258,0.03169477
0.9948363,0.00055425253,0.0,0.0046095587
0.9505375,0.0,0.02453837,0.024924168
0.97054183,0.0,0.014038296,0.015419853
0.83955526,0.0020653196,0.07349298,0.08488645
0.24576168,0.03616124,0.32841325,0.3896638
0.98250204,0.0022721766,0.0047302274,0.0104955025
0.2870499,0.032896485,0.30948833,0.37056533
0.3459546,0.029157877,0.28126237,0.34362516
0.28001326,0.033811215,0.3118168,0.37435868
0.25066042,0.03524718,0.32628322,0.38780922
0.31492537,0.031962432,0.29836854,0.3547437
0.42857864,0.023150666,0.24112532,0.30714533
0.4520914,0.021980325,0.23308542,0.2928429
0.16905858,0.04264049,0.16435765,0.62394327
0.23919335,0.037974667,0.28249574,0.44033626
0.2440387,0.0360058,0.3271378,0.39281777
0.23143236,0.03922283,0.2778458,0.45149902
0.19635089,0.027172709,0.1258614,0.650615
0.21348968,0.038262308,0.12438948,0.6238585
0.23849,0.029988194,0.11763595,0.6138858
0.1890525,0.05299982,0.10878614,0.6491616
0.17274337,0.05063622,0.08531699,0.69130343
0.1815901,0.03797335,0.1431173,0.63731927
0.24478444,0.036736686,0.30295783,0.415521
0.24118625,0.03635023,0.32988554,0.392578
0.21439682,0.033350118,0.26816046,0.48409262
0.24168676,0.036757782,0.32760754,0.39394793
0.2431045,0.031339634,0.102977745,0.62257814
0.26089105,0.02950707,0.1669426,0.5426592
0.19992155,0.040567014,0.04368811,0.7158233
0.20007372,0.040108424,0.12920167,0.6306162
0.19141729,0.024468124,0.0780989,0.7060157
0.20856062,0.04036188,0.14353283,0.60754466
0.25288084,0.035590146,0.28149703,0.43003204
0.26812005,0.026283134,0.060884494,0.64471227
0.19294876,0.039647184,0.16236329,0.6050407
0.24153656,0.03790044,0.25569266,0.4648703
0.21600609,0.03540339,0.2599361,0.4886544
0.21778601,0.03526205,0.23671542,0.5102365
0.23898101,0.037068654,0.29456955,0.42938077
0.2435504,0.037462562,0.2163694,0.5026176
0.27254215,0.03068977,0.22996944,0.46679872
0.24747063,0.036648396,0.24243996,0.47344097
0.302137,0.030881625,0.14940166,0.51757973
0.20845626,0.046209294,0.20309567,0.5422387
0.22593948,0.037220888,0.2572763,0.47956336
0.22099169,0.041954726,0.21904258,0.51801103
0.25156602,0.03193906,0.09052688,0.62596804
0.0073792143,0.0,0.0,0.99262077
0.0,0.0,0.0,1.0
0.2236926,0.038678925,0.14835916,0.58926934
0.2326237,0.04028472,0.23579669,0.49129492
0.23608649,0.034065183,0.17739013,0.55245817
0.22371025,0.04597916,0.32360253,0.4067081
0.20101304,0.06638354,0.3069946,0.42560884
0.0,0.2713497,0.06296152,0.6656888
0.22050296,0.056208786,0.30158103,0.4217073
0.23651616,0.041320886,0.32277128,0.39939174
0.19203687,0.0723342,0.2898968,0.44573218
0.0,0.3357016,0.0,0.66429836
0.21814847,0.061447784,0.29813778,0.42226604
0.0,1.0,0.0,0.0
0.17841026,0.08190453,0.2803222,0.45936295
0.0,0.3269624,0.0,0.6730375
0.0,0.29185212,0.03344267,0.67470527
0.0,0.2933643,0.029619418,0.6770163
0.0,1.0,0.0,0.0
0.17842762,0.081753805,0.27916762,0.46065095
0.10726733,0.7532061,0.08942499,0.050101582
