genetic_id	excluded_chromosome	generations
RNI013.SG	1	99.57750027435236
RNI013.SG	2	51.03700362963779
RNI013.SG	3	5.4474397478324255
RNI013.SG	4	138.33104335429783
RNI013.SG	5	71.72404259641189
RNI013.SG	6	3.2179311781667157
RNI013.SG	7	7.19793536547251
RNI013.SG	8	69.92265258731314
RNI013.SG	9	15.795637622781651
RNI013.SG	10	187.8625623404003
RNI013.SG	11	95.19256729271807
RNI013.SG	12	5.158117075433851
RNI013.SG	13	35.13454904976784
RNI013.SG	14	67.74397495009548
RNI013.SG	15	70.64272215635911
RNI013.SG	16	371.4242628705314
RNI013.SG	17	67.64102151856129
RNI013.SG	18	70.3278655081597
RNI013.SG	19	77.94753971647494
RNI013.SG	20	104.76440115608295
RNI013.SG	21	70.39341267296264
RNI013.SG	22	67.1514303744612
ZKU002.SG	1	337.8117978905125
ZKU002.SG	2	345.24300839841624
ZKU002.SG	3	318.9271150780049
ZKU002.SG	4	332.22206173935405
ZKU002.SG	5	325.8933791254458
ZKU002.SG	6	99.71564569515667
ZKU002.SG	7	307.6028717950075
ZKU002.SG	8	298.82155325837687
ZKU002.SG	9	392.38529917515535
ZKU002.SG	10	329.62156174213663
ZKU002.SG	11	348.22313295637366
ZKU002.SG	12	689.9640180293482
ZKU002.SG	13	316.37225329867255
ZKU002.SG	14	340.5163621352903
ZKU002.SG	15	319.48787863501934
ZKU002.SG	16	296.9242975790147
ZKU002.SG	17	313.05071720261645
ZKU002.SG	18	300.9752493264902
ZKU002.SG	19	315.73875608788404
ZKU002.SG	20	345.02064728621383
ZKU002.SG	21	319.9887713494162
ZKU002.SG	22	319.3399914914894
