target,n,n_snp,chi2,dof,p,Anatolia_N_pct,Anatolia_N_se,Steppe_Yamnaya_pct,Steppe_Yamnaya_se,WHG_pct,WHG_se
Etruscan,57,513493,43.596713245570896,5,8.454466687876236e-08,65.2927306215723,1.2427493384236692,21.939579498585594,2.2293282234315392,12.767689879842099,2.395089908970288
Latin_Italic,5,500176,38.55808422970837,5,6.529834837176809e-07,65.8953157438183,3.3381613686433824,29.19961906208639,4.290561989645695,4.905065194095304,4.939334904747848
Imperial_Roman,60,513493,335.90868799475726,5,1.5287828638181164e-49,82.28435767216725,2.481490680347635,12.930465974567174,4.324973868604051,4.785176353265584,6.109151846025236
Italy_BronzeAge,59,513493,47.00595570372302,5,2.143660079405523e-08,78.68785555858264,1.6064642535339193,10.183617169426611,2.1909581734641232,11.12852727199075,2.468276436435716
Early_Medieval_Italy,60,513493,296.4048417389901,5,1.3150116926629328e-44,67.30836469289795,2.0134806464200485,24.991268777789877,3.0853410353285664,7.700366529312157,4.139611589419732
