cohort,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_Z,D_Den,D_Den_Z,mid_BP,n
Neolithic,0.019658657195215576,0.004063366206801638,505842,0.014387027466573776,4.11397223078931,-0.002881794303382791,-0.72157451949708,6750.0,32
Copper/EBA,0.022729428268876292,0.004114300042758737,505843,0.015892700144712342,4.260846053879023,-0.0028747742733814647,-0.7469077328111577,5100.0,43
Bronze Age,0.022082112640932967,0.004025623350480424,505842,0.016329022734361508,4.7745389761462125,-0.0041357647866138636,-1.17762899415118,3700.0,76
Iron Age,0.02150659453596662,0.0037851538912722655,505845,0.01575961239431557,4.937087238788936,-0.002838428816158668,-0.774388506343953,2750.0,229
Roman,0.020300280880493828,0.003702483747764742,505845,0.014552144259102786,4.545411059746289,-0.003749695839736269,-0.9776275191355803,2000.0,149
Late/Medieval,0.020287250173330416,0.0038066799289045096,505845,0.014490610378116189,4.562068223852886,-0.0025565981477946387,-0.7127466037735046,1250.0,117
