vs,D,Z,nSNP
Latin / Italic IA,0.00023639591748646975,0.18146806288667944,1135701
Imperial Roman,0.0018662320305244753,2.829292067476593,1149575
Anatolia Neolithic,0.00016227440746461116,0.1516600613352105,1149549
Yamnaya (Steppe),-0.00240740247976972,-2.1620311689575216,1149535
Magna Graecia Greek,0.0030680456107335698,3.2067149493796876,1148109
Italy Bronze Age,0.0012738840714891623,1.7964143401907888,1149571
