bin,n,mid_BP,mean_Nea,se
Neolithic/Copper,42,5750.0,2.0750694887442704,0.11148335865819659
Bronze Age,82,3850.0,1.9992012597408084,0.07291879248079589
Iron Age (Etruscan/Latin),229,2750.0,2.0253502973007054,0.04731172101707922
Roman,144,2000.0,1.9689970013370792,0.050956125048001344
Late Antique/Medieval,116,1250.0,1.9852629860936473,0.059575257462163994
