genetic_id	excluded_chromosome	generations
RNI013.SG	1	58.564598968704
RNI013.SG	2	61.365854721518375
RNI013.SG	3	57.202281930637874
RNI013.SG	4	59.019868107954125
RNI013.SG	5	58.178155831079025
RNI013.SG	6	67.91982409293877
RNI013.SG	7	58.7724055882812
RNI013.SG	8	59.22722814360436
RNI013.SG	9	55.34232082377993
RNI013.SG	10	49.390772754420425
RNI013.SG	11	58.01705916723096
RNI013.SG	12	55.62507431682922
RNI013.SG	13	57.321622311767555
RNI013.SG	14	58.65562683075478
RNI013.SG	15	57.81845776217691
RNI013.SG	16	59.73991253370205
RNI013.SG	17	57.699562257897846
RNI013.SG	18	56.82353442891329
RNI013.SG	19	58.09238442035048
RNI013.SG	20	54.83064405937805
RNI013.SG	21	57.745924567414654
RNI013.SG	22	57.52292742516248
ZKU002.SG	1	104.33358628424308
ZKU002.SG	2	111.14793063818907
ZKU002.SG	3	112.25617056820418
ZKU002.SG	4	114.78236418638876
ZKU002.SG	5	111.22927255525377
ZKU002.SG	6	136.9534064032806
ZKU002.SG	7	113.31303656499334
ZKU002.SG	8	115.40779458451274
ZKU002.SG	9	90.69179515768572
ZKU002.SG	10	109.99352645918086
ZKU002.SG	11	111.86097858387838
ZKU002.SG	12	100.42283321135457
ZKU002.SG	13	117.18531003431329
ZKU002.SG	14	112.18882530287394
ZKU002.SG	15	112.7218966747978
ZKU002.SG	16	107.33061962778203
ZKU002.SG	17	111.86979740568725
ZKU002.SG	18	112.33013812065795
ZKU002.SG	19	112.04506899250593
ZKU002.SG	20	113.72852745115776
ZKU002.SG	21	111.80954780802172
ZKU002.SG	22	111.4717429586808
