genetic_id,group_id,locality,country,region,lat,lon,date_bp,full_date,alpha_Nea,alpha_SE,alpha_lcb,alpha_ucb,alpha_nSNP,D_Nea_Z,D_Den_Z,coverage,snps_hit,assessment,data_type,high_conf
poz637.SG,Ukraine_LBA,"Kordyshiv-8 (Ternopil Oblast, Kremenets District)",Ukraine,Europe,50.091,26.057,3532.0,"1686-1504 calBCE (3315±35, Poz-83756)",0.064846,0.018358,0.028864320000000006,0.10082768,18057,3.245,1.664,0.0358,40432.0,Pass,SG,False
DA207.SG,Kazakhstan_EarlyModern_KazakhKhanate,"Konyrtobe (Turkistan Region, Keles District)",Kazakhstan,Central Asia / Steppe,41.415234,68.798064,200.0,1650-1850 CE,0.064649,0.012873,0.039417919999999995,0.08988008,36358,3.251,0.024,0.08721067,80224.0,Pass,SG,False
NEO571.SG,Denmark_EN,Grøfte (Zealand Region),Denmark,Europe,55.404,11.497,5495.0,"3652-3527 calBCE (4828±35 BP, UBA-38228)",0.064555,0.015656,0.03386924,0.09524076000000001,22408,2.348,0.898,0.0426,46250.0,Pass,SG,False
M79_wcg.TW,Henan_Wangchenggang,"Wangchenggang (Henan, Dengfeng City, Gaocheng Town, Bafang Village)",China,East Asia,34.458,113.032,3700.0,1950-1550 BCE,0.063812,0.012824,0.038676959999999996,0.08894703999999999,33842,4.378,1.697,0.0666,73383.0,Pass,TW,False
NEO650.SG,Spain_C,"El Toral-3 (Principado de Asturias, Asturias, Llanes)",Spain,Europe,43.402,-4.707,4096.0,"2334-2047 calBCE (3779±32 BP, UBA-40602)",0.063676,0.016465,0.0314046,0.09594739999999999,33055,2.436,-0.653,0.0664,73091.0,Pass,SG,False
cambridgeshire501.SG,England_Cambridgeshire_Medieval,Cambridgeshire (England),United Kingdom,Europe,52.205,0.1225,700.0,1000-1500 CE,0.063613,0.017732,0.02885828,0.09836772,22673,4.084,1.511,0.0451,50731.0,Pass,SG,False
DOG010_d.AG,Netherlands_Mesolithic,"Maasvlakte-2 (North Sea, Doggerland)",Netherlands,Europe,52.01,3.53,8699.0,"7030-6596 calBCE (7870±45 BP, GrA-63799)",0.063502,0.021173,0.022002920000000002,0.10500108,16726,3.42,1.356,0.0348,38632.0,Pass,AG,False
IKI030.AG,Turkey_C,"İkiztepe (Samsun, Bafra)",Turkey,Europe,41.6136944,35.8711361,5397.0,"3513-3359 calBCE (4635±26 BP, MAMS-40679)",0.063063,0.018886,0.026046439999999997,0.10007955999999998,19214,1.616,0.237,0.04572242,44086.0,Pass,AG,False
GoyetQ-2_d.AG,Belgium_Magdalenian,"Goyet Cave (Wallonia Region, Namur Province, Gesves Municipality, Troisième caverne)",Belgium,Europe,50.446,5.008,15077.0,"13305-12976 calBCE (12650±50 BP, GrA-46168)",0.060571,0.012298,0.03646692,0.08467508,42320,3.665,1.022,0.1101,95052.0,Pass,AG,False
ARO013.AG,Georgia_Arukhlo2_N_Caucasus,Arukhlo 2 (Kvemo Kartli Region),Georgia,Europe,41.469597,44.679196,7485.0,"5612-5480 calBCE (6590±22 BP, MAMS-42359)",0.060126,0.013551,0.03356604,0.08668596,24128,2.266,1.561,0.0522,54194.0,Pass,AG,False
NEO594.SG,Denmark_MN,Neverkær Mose (Funen Region),Denmark,Europe,55.391,10.078,5138.0,"3363-3102 calBCE (4528±28 BP, UBA-37886; UBA-38232)",0.059793,0.01832,0.0238858,0.0957002,29917,2.178,-0.46,0.0603,66107.0,Pass,SG,False
LEO040.AG,Austria_Avar,"Leobersdorf (Lower Austria, Baden District)",Austria,Europe,47.916667,16.216667,1225.0,650-800 CE,0.059524,0.018156,0.023938240000000006,0.09510975999999999,27117,3.528,1.406,1.402,61133.0,Pass,AG,False
NEO757.SG,Denmark_EN,"Sejerby (Sjælland, Kalundborg)",Denmark,Europe,55.902,11.118,5412.0,"3636-3377 calBCE (4746±45 BP, UBA-35721)",0.059344,0.012236,0.03536144,0.08332656,45817,3.214,0.912,0.1342,100507.0,Pass,SG,False
LSC005.SG,Italy_Lazio,"Grotta La Sassa (Lazio, Latino, Sonnino)",Italy,Europe,41.425119,13.236332,4633.0,"2868-2497 calBCE (4097±39 BP, UBA-41605)",0.05923,0.01157,0.036552799999999996,0.0819072,65026,4.725,0.052,0.15736387,139494.0,Pass,SG,False
CCH294.SG,Turkey_N,"Çatalhöyük (Konya, Çumra)",Turkey,Europe,37.6661,32.8257,8500.0,7100-6000 BCE,0.058316,0.020866,0.01741864,0.09921336,21126,1.95,0.829,0.15840155,39391.0,Pass,SG,False
MGS290.AG,Austria_Avar,"Mödling-An der Goldenen Stiege (Lower Austria, Mödling District)",Austria,Europe,48.08152,16.28535,1225.0,650-800 CE,0.058257,0.021959,0.015217360000000006,0.10129664,18055,3.187,0.797,0.6066,39257.0,Pass,AG,False
I7895.AG,Slovakia_N_LBK,"Nitra-Mlynárce (Nitra Region, Nitra District, Nitra)",Slovakia,Europe,48.317816,18.049592,6975.0,5250-4800 BCE,0.058256,0.020267,0.018532680000000003,0.09797932000000001,20538,3.058,0.513,0.04359056,46919.0,Pass,AG,False
I17968.AG.TW,Netherlands_EN_LateMesolithic_Swifterbant,"Het Klooster (Utrecht, Nieuwegein)",Netherlands,Europe,52.02,5.124,6750.0,4950-4650 BCE,0.057934,0.015042,0.02845168,0.08741631999999999,27764,3.653,1.417,0.0595,62134.0,Pass,TW,False
ROT006.AG,Russia_Rostovka_EMBA_Irtysh_SeimaTurbino,"Rostovka (Omsk Oblast, Omsk District, Rostovka Village)",Russia,Siberia,55.029025,73.572794,3975.0,2200-1850 BCE,0.057533,0.023597,0.011282880000000002,0.10378312,16558,2.682,0.402,0.0325,35894.0,Pass,AG,False
SuogangB3.AG,China_Penghu_Suogang_LN,"Suogang (Penghu Island, Magong City)",China,East Asia,23.5,119.6,4575.0,2900-2350 BCE,0.057421,0.020932,0.016394280000000004,0.09844771999999999,13479,2.468,-0.281,,30610.0,PROVISIONAL_PASS,AG,False
cambridgeshire1156.SG,England_Cambridgeshire_Medieval,Cambridgeshire (England),United Kingdom,Europe,52.205,0.1225,700.0,1000-1500 CE,0.057381,0.021509,0.015223359999999998,0.09953864000000001,16285,1.556,1.352,0.0323,36452.0,Pass,SG,False
I19022.AG,Croatia_MBA_Cetina,"Cetina-Valley (Šibenik-Knin County, Općina Civljane)",Croatia,Europe,43.9672237,16.4326708,3550.0,1700-1500 BCE,0.057261,0.018557,0.020889279999999996,0.09363272,23237,2.586,1.213,0.05078309,52631.0,Pass,AG,False
I1690.AG,Israel_Natufian,Raqefet Cave (Haifa District),Israel,Near East / Anatolia,32.65,35.067,12700.0,12000-9500 BCE,0.057244,0.020766,0.016542640000000004,0.09794536000000001,13595,3.511,0.637,0.02991816,30183.0,Pass,AG,False
