genetic_id,group_id,locality,country,region,lat,lon,date_bp,full_date,alpha_Nea,alpha_SE,alpha_lcb,alpha_ucb,alpha_nSNP,D_Nea_Z,D_Den_Z,coverage,snps_hit,assessment,data_type,high_conf
I11850.AG.TW,Ukraine_Odesa_EBA,"Odesa (Odesa Oblast, Odesa District)",Ukraine,Europe,46.48,30.72,4699.0,"2874-2630 calBCE (4150±25 BP, PSUAMS-11224)",0.053998,0.017778,0.019153120000000003,0.08884287999999999,25761,1.959,-0.063,0.0552493,58214.0,Pass,TW,False
I10940.AG,Gibraltar_EBA,Bray Cave (Upper Rock Nature Reserve),Gibraltar,Europe,36.132004,-5.343773,3600.0,1900-1400 BCE,0.053982,0.025625,0.0037570000000000034,0.104207,13830,1.409,-0.874,0.0325341,32817.0,Pass,AG,False
M4.SG,China_NorthwestXinjiang_Shirenzigou_IA-1,Shirenzigou (Northwest Xinjiang),China,Central Asia / Steppe,43.6097,93.1667,2227.0,379-197 calBCE (2215±25 BP),0.053918,0.015655,0.023234200000000003,0.0846018,21871,2.428,-1.124,0.04878072,48532.0,Pass,SG,False
Pavlov1.AG,Czechia_Gravettian,"Dolní Věstonice (South Moravian Region, Břeclav District)",Czechia,Europe,48.877778,16.652222,30350.0,29300-27500 BCE,0.053813,0.020213,0.014195520000000003,0.09343048,19825,2.732,1.397,0.0414,45173.0,PROVISIONAL_PASS,AG,False
TIM008.SG,Russia_Ivanovo_BA,"Timofeyevka (Ivanovo Oblast, Ilyinsky District, Timofeyevka Village)",Russia,Europe,57.1344739,39.9757137,4473.0,"2574-2470 calBCE (4008±20 BP) [R_Combine: (3990±25 BP, PSUAMS-4112), (4036±32 BP, UBA-41637)]",0.05357,0.014369,0.02540676,0.08173324,57141,3.245,0.966,0.14416337,125869.0,Pass,SG,False
EV16A.SG,Italy_Monteriggioni_IA_Etruscan,"Monteriggioni (Tuscany, Siena)",Italy,Europe,43.3897,11.2245,2549.0,700-500 BCE,0.053539,0.021094,0.012194759999999999,0.09488324000000001,15994,3.224,0.216,0.0311,35204.0,Pass,SG,False
NEO857.SG,Denmark_LN,Lollikehuse (Zealand Region),Denmark,Europe,55.758,12.007,3661.0,"1879-1632 calBCE (3442±32 BP, UBA-38241; UBA-37897)",0.053178,0.022411,0.00925244,0.09710356,20142,2.063,0.203,0.0444,44820.0,Pass,SG,False
I20609.AG,Spain_Medieval-oNearEast,"Atrio de Menga (Andalusia, Málaga, Antequera)",Spain,Europe,37.02367,-4.54831,1100.0,700-1000 CE,0.053124,0.012712,0.02820848,0.07803952,33943,2.579,-0.485,0.07667913,77047.0,Pass,AG,False
MGS342.AG,Austria_Avar,"Mödling-An der Goldenen Stiege (Lower Austria, Mödling District)",Austria,Europe,48.08152,16.28535,1225.0,650-800 CE,0.053046,0.022414,0.00911456,0.09697744,15175,2.397,1.245,0.6554,33136.0,Pass,AG,False
NEO551.SG,Ukraine_N,"Vovnihy-1 (Zaporizhia Oblast, Zaporizhia District, Petro-Mykhailivka Municipality)",Ukraine,Europe,48.123,35.098,7589.0,"5741-5626 calBCE (6797±40 BP, UBA-40066)",0.052953,0.016657,0.020305279999999995,0.08560072,38269,3.074,1.338,0.0898,84989.0,Pass,SG,False
LEO127.AG,Austria_Avar,"Leobersdorf (Lower Austria, Baden District)",Austria,Europe,47.916667,16.216667,1225.0,650-800 CE,0.052933,0.01166,0.0300794,0.07578660000000001,49870,3.595,0.219,0.8559,111926.0,Pass,AG,False
I14925.AG,Taiwan_IA,"Blihun site (Eastern Taiwan, Hanben)",Taiwan,East Asia,24.327778,121.765556,1550.0,1-800 CE,0.052648,0.024075,0.005461000000000001,0.09983500000000001,13531,0.228,-0.987,0.02836511,30282.0,Pass,AG,False
Bon001.WGC.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,Europe,38.2153,39.7526,10032.0,8212-7952 calBCE (Ba-120539),0.052592,0.014787,0.023609480000000002,0.08157452,32050,1.444,-0.408,0.08641894,71856.0,Pass,SG,False
