genetic_id	excluded_chromosome	generations
RNI013.SG	1	57.15003029490623
RNI013.SG	2	59.825101826368375
RNI013.SG	3	55.831945038998626
RNI013.SG	4	57.08915484229968
RNI013.SG	5	57.10666515668609
RNI013.SG	6	60.66550860277387
RNI013.SG	7	57.038729899917314
RNI013.SG	8	57.46484356307566
RNI013.SG	9	54.42932700094261
RNI013.SG	10	46.18690394001261
RNI013.SG	11	57.215761104482844
RNI013.SG	12	56.82469712540876
RNI013.SG	13	55.46211333202763
RNI013.SG	14	56.98469190261205
RNI013.SG	15	56.3587369685843
RNI013.SG	16	61.601895653953704
RNI013.SG	17	56.171911380199845
RNI013.SG	18	55.82144587216421
RNI013.SG	19	56.439068383346914
RNI013.SG	20	54.36283459957117
RNI013.SG	21	56.31117713169763
RNI013.SG	22	56.01839604835349
ZKU002.SG	1	115.1291974830268
ZKU002.SG	2	121.6183866313834
ZKU002.SG	3	122.61962486963614
ZKU002.SG	4	126.22028464413775
ZKU002.SG	5	122.68315436943072
ZKU002.SG	6	139.7167676659737
ZKU002.SG	7	123.4083044227035
ZKU002.SG	8	126.42923680504508
ZKU002.SG	9	106.83646735688511
ZKU002.SG	10	122.360887609791
ZKU002.SG	11	122.0063782176423
ZKU002.SG	12	116.59958613175733
ZKU002.SG	13	127.39144837909056
ZKU002.SG	14	123.21727061867809
ZKU002.SG	15	123.46485439570695
ZKU002.SG	16	118.8854105060803
ZKU002.SG	17	122.76542544410587
ZKU002.SG	18	122.76319312418235
ZKU002.SG	19	123.2823477588042
ZKU002.SG	20	124.91747725690023
ZKU002.SG	21	122.93354604228891
ZKU002.SG	22	122.6558260667933
