genetic_id	distance_cm	covariance	n_pairs	fitted_covariance
RNI013.SG	0.03	0.16172395193988767	928	0.15394987545562017
RNI013.SG	0.05	0.0938137607538756	690	0.15220262133007084
RNI013.SG	0.07	0.13068687921211408	598	0.15047491257214413
RNI013.SG	0.09000000000000001	0.08806123254162393	552	0.14876653054083644
RNI013.SG	0.11	0.17931405928405178	559	0.1470772590409354
RNI013.SG	0.13	0.22856977943882079	527	0.14540688429566043
RNI013.SG	0.15	0.19995843551269796	491	0.1437551949196094
RNI013.SG	0.16999999999999998	0.15025637697150646	497	0.1421219818920077
RNI013.SG	0.19	0.15411427593875632	433	0.14050703853025698
RNI013.SG	0.21	0.09512850019179134	396	0.13891016046377924
RNI013.SG	0.22999999999999998	0.11551196878624909	436	0.13733114560815415
RNI013.SG	0.25	0.12060148080299214	397	0.13576979413954493
RNI013.SG	0.27	0.20460358056265984	392	0.13422590846941104
RNI013.SG	0.29000000000000004	0.18362058428065028	405	0.13269929321950327
RNI013.SG	0.31	0.09828009828009827	408	0.1311897551971386
RNI013.SG	0.33	0.17182615710396287	423	0.12969710337075194
RNI013.SG	0.35000000000000003	0.1727386024403675	372	0.12822114884572097
RNI013.SG	0.37000000000000005	0.11425093470133033	372	0.12676170484046162
RNI013.SG	0.39	0.10785832949421341	379	0.125318586662791
RNI013.SG	0.41000000000000003	0.05709233295440192	378	0.12389161168655452
RNI013.SG	0.43000000000000005	0.14625606747831624	355	0.12248059932851474
RNI013.SG	0.45	0.11054596961112542	353	0.12108537102549859
RNI013.SG	0.47000000000000003	0.09626736899464174	364	0.11970575021180016
RNI013.SG	0.49000000000000005	0.18053488260431172	354	0.11834156229683652
RNI013.SG	0.51	0.06313834726090993	360	0.11699263464305318
RNI013.SG	0.53	0.15880213903743315	375	0.11565879654407696
RNI013.SG	0.55	0.19198350893266147	296	0.11433987920311316
RNI013.SG	0.5700000000000001	0.1338551859099804	365	0.1130357157115843
RNI013.SG	0.5900000000000001	0.1355629877369008	391	0.11174614102800795
RNI013.SG	0.61	0.07617336626993038	366	0.11047099195711078
RNI013.SG	0.63	0.05517272339565891	299	0.10921010712917627
RNI013.SG	0.65	0.030627353102923135	308	0.10796332697962328
RNI013.SG	0.67	0.06633317602642756	326	0.10673049372881342
RNI013.SG	0.6900000000000001	0.10174649094610522	306	0.10551145136208397
RNI013.SG	0.7100000000000001	0.14923282037375996	298	0.10430604561000423
