genetic_id,group_id,country,continent,is_modern,lat,lon,date_bp,alpha_Nea,alpha_SE,alpha_nSNP,D_Den_Z,high_conf
poz529_alt1.SG,Poland_BA-Dup,Poland,Eurasia,False,50.536,21.53,3899.0,0.050701,0.013429,38783,0.485,False
BerryAuBac.AG,France_HautsdeFrance_Mesolithic,France,Eurasia,False,49.24,3.54,7237.0,0.050687,0.021672,19772,-0.491,False
YPN014.SG,Thailand_IA_LogCoffin,Thailand,Eurasia,False,19.60001,98.25,1625.0,0.050662,0.013471,66380,-0.291,False
I2539.AG,Chile_CaletaHuelen_1100BP,Chile,Americas,False,-21.4398,-70.0281,990.0,0.050638,0.018262,29940,-0.15,False
KIL019.AG,Ireland_EarlyMedieval,Ireland,Eurasia,False,54.00684,-8.202308,950.0,0.050402,0.019191,17206,0.86,False
I0518.AG,England_N,United Kingdom,Eurasia,False,52.217253,-0.940217,5200.0,0.050387,0.019232,20491,1.15,False
I7857.AG,Moldova_Eneolithic,Moldova,Eurasia,False,46.53,28.78,5685.0,0.05037,0.020009,19894,0.266,False
DA188.SG,Russia_SaltovoMayaki,Russia,Eurasia,False,50.114471,38.300882,1107.0,0.050282,0.019586,24064,0.69,False
FRM001.AG,France_Mesolithic,France,Eurasia,False,48.834,2.2712,9964.0,0.050223,0.013775,48961,0.853,False
PN103.SG,Italy_Novilara_IA_Piceni,Italy,Eurasia,False,43.8587,12.9313,2649.0,0.050064,0.015728,37934,0.877,False
