genetic_id,group_id,country,continent,is_modern,lat,lon,date_bp,alpha_Nea,alpha_SE,alpha_nSNP,D_Den_Z,high_conf
ERI009.AG,PapuaNewGuinea_Eriama_EarlyModern,Papua New Guinea,Oceania,False,-9.21,147.13,390.0,0.03416,0.006719,337412,3.864,True
HGDP00663.DG,Nasioi,Papua New Guinea,Oceania,True,-6.48,155.83,0.0,0.026027,0.004871,467927,3.807,True
I4106.AG,Vanuatu_150BP,Vanuatu,Oceania,False,-16.89,168.3,140.0,0.029259,0.005078,441321,3.762,True
I10967.AG,Vanuatu_200BP-oPolynesian,Vanuatu,Oceania,False,-17.611529,168.241268,156.0,0.027368,0.007632,206492,3.648,True
WAT003.AG,PapuaNewGuinea_ReberRakival_Medieval,Papua New Guinea,Oceania,False,-4.09,152.07,570.0,0.0158,0.005568,274471,3.588,True
HGDP00655.DG,Nasioi,Papua New Guinea,Oceania,True,-6.48,155.83,0.0,0.026759,0.004775,467561,3.583,True
HGDP00661.DG,Nasioi,Papua New Guinea,Oceania,True,-6.48,155.83,0.0,0.026603,0.004797,468458,3.487,True
FUT007.AG,Vanuatu_1200BP,Vanuatu,Oceania,False,-19.519667,170.226106,1204.0,0.026301,0.00642,179788,3.409,False
TAN001.AG,Vanuatu_200BP,Vanuatu,Oceania,False,-19.5,169.33,202.0,0.02431,0.007372,281963,3.356,False
I41054.TW,Palau_Ngkeklau_1400BP,Palau,Oceania,False,7.5927213,134.638359,1400.0,0.024593,0.005604,391454,3.348,True
MAL007.AG,Vanuatu_2000BP,Vanuatu,Oceania,False,-16.073881,167.447786,2038.0,0.01949,0.008116,180715,3.328,False
HGDP00491.DG,Nasioi,Papua New Guinea,Oceania,True,-6.480001,155.83,0.0,0.030586,0.00409,467276,3.328,True
I3921.AG,Vanuatu_1300BP,Vanuatu,Oceania,False,-16.711,168.133,1260.0,0.023041,0.005318,448705,3.306,True
ERI002.AG,PapuaNewGuinea_Eriama_EarlyModern,Papua New Guinea,Oceania,False,-9.21,147.13,290.0,0.020667,0.006554,274875,3.291,True
I4096.AG,Vanuatu_1300BP,Vanuatu,Oceania,False,-16.711,168.133,1305.0,0.022471,0.00461,432935,3.247,True
NBR015.AG,PapuaNewGuinea_Nebira_Medieval,Papua New Guinea,Oceania,False,-9.24,147.03,500.0,0.025077,0.005822,234680,3.162,True
WAT001.AG,PapuaNewGuinea_ReberRakival_Medieval,Papua New Guinea,Oceania,False,-4.09,152.07,610.0,0.015352,0.005534,277242,3.138,True
FUT002.AG,Vanuatu_1200BP,Vanuatu,Oceania,False,-19.519667,170.226106,1238.0,0.021943,0.005144,279232,3.115,True
I14493.AG,Vanuatu_400BP,Vanuatu,Oceania,False,-17.638593,168.155767,387.0,0.019339,0.006253,225970,3.036,False
ERI005.AG,PapuaNewGuinea_Eriama_Modern,Papua New Guinea,Oceania,False,-9.21,147.13,140.0,0.021595,0.006476,245520,3.022,True
I4450.AG,Vanuatu_150BP,Vanuatu,Oceania,False,-17.678839,168.534731,215.0,0.022434,0.0054,350825,3.014,True
MAL004.AG,Vanuatu_2600BP,Vanuatu,Oceania,False,-16.073881,167.447786,2567.0,0.016361,0.00544,307542,2.939,True
ERI007.AG,PapuaNewGuinea_Eriama_Modern,Papua New Guinea,Oceania,False,-9.21,147.13,150.0,0.023812,0.007127,290022,2.873,True
I41043.TW,Palau_OmedokelCave_1400BP,Palau,Oceania,False,7.2270517,134.399355,1355.0,0.027261,0.004696,494009,2.871,True
NBR006.AG,PapuaNewGuinea_Nebira_LateMedieval,Papua New Guinea,Oceania,False,-9.24,147.03,475.0,0.028313,0.006646,241853,2.849,True
HGDP00664.DG,Nasioi,Papua New Guinea,Oceania,True,-6.48,155.83,0.0,0.025039,0.005884,468073,2.777,True
I10966.AG,Vanuatu_400BP-o,Vanuatu,Oceania,False,-17.611529,168.241268,400.0,0.0232,0.005744,285664,2.728,True
NBR016.AG,PapuaNewGuinea_Nebira_LateMedieval,Papua New Guinea,Oceania,False,-9.24,147.03,475.0,0.022329,0.006562,269060,2.722,True
ERI008.AG,PapuaNewGuinea_Eriama_Modern,Papua New Guinea,Oceania,False,-9.21,147.13,155.0,0.023062,0.006909,288547,2.684,True
I42656.TW,Palau_KororQuarry_1500BP,Palau,Oceania,False,7.3517537,134.498934,1464.0,0.026747,0.005537,406620,2.671,True
HGDP00662.DG,Nasioi,Papua New Guinea,Oceania,True,-6.48,155.83,0.0,0.026128,0.004912,467561,2.66,True
I4425.AG,Vanuatu_150BP,Vanuatu,Oceania,False,-17.652345,168.402102,135.0,0.02753,0.006091,300111,2.614,True
I30477.TW,FederatedStatesofMicronesia_SaudeleurDynasty,Federated States of Micronesia,Oceania,False,6.845103,158.335876,246.0,0.029293,0.005387,445095,2.527,True
