replacement,kappa,f50,f80,baseline_rate,baseline_median_abs_z,se_ratio_boot_over_jack,analytic_limit,analytic_limit_kappa_corrected
equidistant,0.32654167330551276,0.3740263379097787,0.6407564079584155,0.10448067226890757,0.7335170859419282,0.9900141383627112,0.1333527266334124,0.40837889168482167
altai,0.6499220949625686,0.18701316895488934,0.3182014514954421,0.10448067226890757,0.7335170859419282,0.9900141383627112,0.1333527266334124,0.20518263291401515
