covariate,rho,p,n
date_bp,-0.4900562851782365,0.0013280748222518088,40
median_coverage,-0.23151969981238277,0.15059258559306365,40
median_damage,-0.10877653818689853,0.515642265487582,38
median_snps,-0.3339587242026267,0.03519994126209829,40
