arm,pair_class,b,b_se,n_points,se_at_1,se_at_min,ratio_min_to_1,var_share,var_axis,var_floor
sites,all,0.40809395167405166,0.04621651210556199,13,0.004199132969159948,0.009474000556871486,2.2561801749199657,0.5397380473803636,1.0418292143442366e-05,8.88420504757074e-06
sites,both-large,0.33844751187690436,0.05330785664202496,13,0.0013512450498767165,0.00282902024918979,2.093639676569325,0.43668955914369123,8.663310624984954e-07,1.117529197859669e-06
sites,both-small,0.3993132962899774,0.04305464371046842,13,0.004445476946699947,0.010049939488074387,2.260711192200615,0.4640270555894596,1.1401559806107499e-05,1.316933464663933e-05
sites,mixed,0.39175374606608604,0.041455462005400553,13,0.004612424025496578,0.010119231376039688,2.1939074378466845,0.5278147450567053,1.1660719269028578e-05,1.0431727708321059e-05
individuals,all,0.06259559119071115,0.01822718802520631,13,0.004199132969159948,0.004715326772397122,1.122928663376059,0.03607327230277182,6.486004322643113e-07,1.7331482628137e-05
individuals,both-large,0.16934277765873468,0.03555507865247786,13,0.0013512450498767165,0.0018559884941612083,1.3735395325448505,0.1617313346256285,2.541136101349229e-07,1.3170946577195315e-06
individuals,both-small,0.04845660299335657,0.022545519573486245,13,0.004445476946699947,0.004905056339382301,1.103381346522001,0.024593925062820213,5.159477587756747e-07,2.046271902409003e-05
individuals,mixed,0.04875761732464507,0.012995238775479563,13,0.004612424025496578,0.005069047313136087,1.0989985493778074,0.029954198753202627,6.347240878260463e-07,2.0555096179297046e-05
