label,residual,residual_se,residual_z,in_fit,D_VA_matched,D_VA_matched_se,n_snp_matched
IUP_Eurasia_45ka,-0.022940734203017996,0.007171664651529671,-3.1988018567104755,False,0.06628705128036179,0.00669407626946552,500213.0
UP_Europe_pre_LGM,-0.015499261087674368,0.008065912105778488,-1.9215757479641473,False,0.07315115187569586,0.00721095469182798,500213.0
UP_Europe_post_LGM,-0.00465612726427185,0.008085153666637384,-0.5758860568704979,False,0.080659317487491,0.007371990475016739,500213.0
UP_NorthEastAsia,0.002309239302667132,0.008077444846359604,0.2858873500953554,False,0.07460420432425344,0.007054391693523269,500213.0
UstIshim_44ka,-0.017353153134925033,0.0144853519196763,-1.1979793954024156,False,0.057877247124121824,0.011900350424530854,500213.0
Caucasus_Bronze,0.003779497839265844,0.0024059221897859808,1.5709144108280784,True,0.07159718446495962,0.006001397151160936,500213.0
Caucasus_Iron_Classical,0.0010424312232540783,0.002683906353875026,0.3884007434719231,True,0.06909128447112983,0.006067583331315401,500213.0
Caucasus_Medieval_Recent,0.003187309941092037,0.003305296902394284,0.964303672321606,True,0.07204454543650739,0.005985724302296195,500213.0
Caucasus_Neolithic,0.001784032112056605,0.0029344961575992713,0.6079517628389509,True,0.0698196879515573,0.006402010517260998,500213.0
CentralAsia_Bronze,-0.0011038160371236727,0.0030369255381333215,-0.363464965888543,True,0.0684529027691529,0.00609689157630454,500213.0
CentralAsia_Iron_Classical,0.003789536458443127,0.002377734418515877,1.5937593487873476,True,0.07155152100165077,0.0059555836476849955,500213.0
CentralAsia_Medieval_Recent,0.0023670894638181533,0.003012630687921591,0.7857217525229435,True,0.070073779544222,0.0059327783460863615,500213.0
CentralAsia_Neolithic,0.004906573861121366,0.003940112215120865,1.2452878479682727,True,0.06295156595163255,0.006789810035133239,500213.0
EastAsia_Bronze,-0.00043009326790642566,0.004759802534493834,-0.09035947705594526,True,0.07500904801548243,0.007776775855757377,500213.0
EastAsia_Iron_Classical,-0.0007754118187366099,0.0046179931332506596,-0.16791099431340825,True,0.07564941254343178,0.007478877094353705,500213.0
EastAsia_LateGlacial_Meso,-0.003469167434085263,0.006504097692142044,-0.5333818153249072,True,0.07166081447721476,0.008234354682752016,500213.0
EastAsia_Medieval_Recent,-0.0021369030878470585,0.0036172294919703763,-0.5907568465287076,True,0.07455856170130647,0.007411095192768468,500213.0
EastAsia_Neolithic,0.006216126507381237,0.004840790885821495,1.2841138264385785,True,0.07666928832305571,0.00741643662980042,500213.0
Europe_Bronze,0.0025132623586855696,0.0026469157246767423,0.9495059987195115,True,0.07508589236915136,0.006074477284631806,500213.0
Europe_Iron_Classical,0.00428594323544601,0.002404983197576628,1.7821094300220992,True,0.07501875402842795,0.005972701840080422,500213.0
Europe_LateGlacial_Meso,0.002611977903359694,0.00445600132737588,0.586170809086782,True,0.07648055679257101,0.006118347259961336,500213.0
Europe_Medieval_Recent,0.002453044241520319,0.0018214122105969545,1.346781484854739,True,0.07649621860633074,0.0059583417904878425,500213.0
Europe_Neolithic,0.002882736379729106,0.003569008274720651,0.8077135601359008,True,0.07468047800670621,0.006395866666433101,500213.0
Europe_Palaeolithic,-0.017198396882346173,0.0054317932363578915,-3.166246602913403,True,0.07158804847080345,0.005538087899543959,500213.0
InnerAsia_Bronze,-0.00016065934369080548,0.0034472154845280978,-0.046605541316428245,True,0.07539857386702799,0.006909685108680034,500213.0
InnerAsia_Iron_Classical,-0.0019036854641901746,0.001884272440222662,-1.010302663008338,True,0.07442170170540392,0.0061824441407773625,500213.0
InnerAsia_Medieval_Recent,0.0005957649360948253,0.003038994430822689,0.19604015395761856,True,0.07412506111801587,0.006404601384933698,500213.0
NearEast_Bronze,0.003953724922909144,0.00357727421054372,1.1052339547401389,True,0.06864257666047091,0.006376224983586907,500213.0
NearEast_Iron_Classical,0.0028423587835419845,0.0047370415435633575,0.6000282575955349,True,0.0713223698620489,0.006931315275908415,500213.0
NearEast_Medieval_Recent,0.004022573925900344,0.003658817004022705,1.0994192717147933,True,0.06829729192784252,0.006381925976902728,500213.0
Siberia_Bronze,-0.0022259086077441453,0.0024524008697587147,-0.9076446820715517,True,0.07554545864850823,0.006577208493339025,500213.0
Siberia_Iron_Classical,-0.001380890871770346,0.0023851552537268047,-0.5789521959263257,True,0.07473080780377116,0.00687957409353163,500213.0
Siberia_Neolithic,-0.0015237886624009794,0.0038600520696628385,-0.39475857706087286,True,0.07580271196454053,0.007470901161817133,500213.0
SouthAsia_Iron_Classical,0.0005918161996701365,0.005887800811862541,0.10051566256755246,True,0.07191969175612609,0.008141948257741592,500213.0
SouthAsia_Medieval_Recent,-0.003187404658538437,0.006125390770158442,-0.5203593987940773,True,0.07210205777226754,0.0071375145514861104,500213.0
WestSiberia_Bronze,-0.001523399850932805,0.0028423541345641177,-0.535964126499115,True,0.07360299866298622,0.006400439525590968,500213.0
WestSiberia_Iron_Classical,0.0011776736375398028,0.0019264955982908815,0.6113035703712965,True,0.07415298499344407,0.00649157335143836,500213.0
WestSiberia_LateGlacial_Meso,-0.006508287057090986,0.006355907272290122,-1.0239745135151979,True,0.07541018664487223,0.007519119111294136,500213.0
WestSiberia_Medieval_Recent,-0.0010622917997341053,0.0023559996728841842,-0.4508879232710849,True,0.07465388698322493,0.006311782314761353,500213.0
WestSiberia_Neolithic,-0.0015043149167082853,0.004064682375127733,-0.3700940880186271,True,0.07456411067540067,0.006932944492714686,500213.0
