statistic,statistical_floor,systematic_floor,best_case_floor,limit,best_limit,signal,limit_fraction_of_signal,best_fraction_of_signal,n_null,n_comparisons,n_sigma,max_abs_null
D_VA,0.009826459090792421,0.0015347342507375974,0.0010899993982276977,0.009826459090792421,0.0015347342507375974,0.07368772531967363,0.13335272663341244,0.0208275427702454,20,1378,2.0,0.0020457269167051123
R,0.4170602952517642,0.08677447174625035,0.05557624208681423,0.4170602952517642,0.08677447174625035,2.261634277166222,0.18440660342941548,0.038368038821456514,20,1378,2.0,0.0828276978673963
