kind,q_hi,q_lo,b,b_sd,n
local,1.0,0.5,0.32220127465800774,0.04936944672795433,4
local,0.5,0.25,0.4639969117896332,0.21158345226084949,16
local,0.25,0.125,0.3790943343494811,0.26230589089751877,16
window,1.0,0.25,0.4167316994124249,0.07946570261284162,9
window,0.5,0.125,0.4215456230695578,0.05810917366040471,12
