statistic,statistical_floor,systematic_floor,best_case_floor,limit,best_limit,signal,limit_fraction_of_signal,best_fraction_of_signal,n_null,n_comparisons,n_sigma,max_abs_null
D_VA,0.015100876098163405,0.0030794236130157514,0.0023147871929219124,0.015100876098163405,0.0030794236130157514,0.07462744766000079,0.20235016165851338,0.041263954611518584,20,1431,2.0,0.004690022449283626
R,0.4104408514354177,0.08856945218734405,0.0628234816891906,0.4104408514354177,0.08856945218734405,1.571790932404076,0.2611294180248532,0.05634938487135554,20,1431,2.0,0.1352948122068971
