cohort_a,cohort_b,statistic,diff,se,z,se_independent,n_blocks_used
IUP_Eurasia_45ka,UP_Europe_pre_LGM,D_VA,-0.0035065599208471687,0.010950055689291258,-0.3202321540954766,0.017761680286450424,50
IUP_Eurasia_45ka,UP_Europe_pre_LGM,R,0.08395639190235737,0.2267554117810413,0.37025088505242393,0.3512325262652721,50
IUP_Eurasia_45ka,UP_Europe_post_LGM,D_VA,0.015492976519610985,0.012480864012045135,1.2413384605952678,0.01758657220007768,50
IUP_Eurasia_45ka,UP_Europe_post_LGM,R,0.10437442224602167,0.32694045248392706,0.31924597110280467,0.41368269966774507,50
IUP_Eurasia_45ka,UP_NorthEastAsia,D_VA,-0.0020388903287452548,0.011322333763214943,-0.1800768614832211,0.01797077283373386,50
IUP_Eurasia_45ka,UP_NorthEastAsia,R,-0.0764512816813332,0.2594727360570257,-0.2946409046402898,0.40070870501045425,50
IUP_Eurasia_45ka,Oase1_40ka,D_VA,0.03654517188128297,0.08109443576049123,0.45064956107737764,0.08195477449136858,50
IUP_Eurasia_45ka,Oase1_40ka,R,0.9529061305366238,0.9193813167612689,1.0364645367098102,0.934528245350338,50
IUP_Eurasia_45ka,UstIshim_44ka,D_VA,0.012421813864337126,0.015097788001870898,0.8227572054129937,0.02204429436743751,50
IUP_Eurasia_45ka,UstIshim_44ka,R,-0.01877683423112897,0.38809540661645753,-0.04838200584446887,0.5046472944328368,50
IUP_Eurasia_45ka,Caucasus_Bronze,D_VA,0.0014918962597912783,0.008775836653193597,0.17000045907285266,0.01606595495163668,50
IUP_Eurasia_45ka,Caucasus_Bronze,R,-0.22102449190158224,0.2356834712425995,-0.9378022596844388,0.40512902391861344,50
IUP_Eurasia_45ka,Caucasus_Iron_Classical,D_VA,0.00119869119360215,0.008662583659484845,0.13837571338080848,0.016294799004516317,50
IUP_Eurasia_45ka,Caucasus_Iron_Classical,R,-0.19548938218810852,0.22459738899907347,-0.8703991754281478,0.39239790545450476,50
IUP_Eurasia_45ka,Caucasus_Medieval_Recent,D_VA,-0.0032877114032450333,0.008842328071256705,-0.3718151347417458,0.01601348807898187,50
IUP_Eurasia_45ka,Caucasus_Medieval_Recent,R,-0.251100455565082,0.2336530035433675,-1.074672491930865,0.3947090111444703,50
IUP_Eurasia_45ka,Caucasus_Neolithic,D_VA,0.0021059925270140445,0.008934945701515786,0.2357028903552004,0.016561526013318797,50
IUP_Eurasia_45ka,Caucasus_Neolithic,R,-0.18569502527040793,0.23478102084364902,-0.7909286048895341,0.4012903690705138,50
IUP_Eurasia_45ka,CentralAsia_Bronze,D_VA,0.003960865780500547,0.008825423141125567,0.44880179875379783,0.01615928982860529,50
IUP_Eurasia_45ka,CentralAsia_Bronze,R,-0.09601409407197026,0.23613520592556328,-0.40660643420632797,0.3913983596915854,50
IUP_Eurasia_45ka,CentralAsia_Iron_Classical,D_VA,5.26481002939283e-05,0.008290621973439135,0.0063503197302444,0.01540411617685101,50
IUP_Eurasia_45ka,CentralAsia_Iron_Classical,R,-0.22221463675648367,0.21864165951202347,-1.016341703829154,0.3813942417193229,50
IUP_Eurasia_45ka,CentralAsia_Medieval_Recent,D_VA,0.0012465969872730437,0.00830197075188082,0.1501567548874616,0.01596354451789217,50
IUP_Eurasia_45ka,CentralAsia_Medieval_Recent,R,-0.19009588102559616,0.2176961192435518,-0.8732166732514081,0.3768060589639291,50
IUP_Eurasia_45ka,CentralAsia_Neolithic,D_VA,0.01731730419621144,0.008858821538672278,1.9548090138868386,0.015973505824202653,50
IUP_Eurasia_45ka,CentralAsia_Neolithic,R,0.05239333560508874,0.22455703062694146,0.23331861602734782,0.39017082070525066,50
IUP_Eurasia_45ka,EastAsia_Bronze,D_VA,-0.004110656292142412,0.007958985425423764,-0.5164799371301206,0.016701189957141125,50
IUP_Eurasia_45ka,EastAsia_Bronze,R,-0.3105784608761739,0.2049447046553805,-1.5154256432163942,0.3949093356136356,50
IUP_Eurasia_45ka,EastAsia_Iron_Classical,D_VA,-0.0041075281968705885,0.007866124961074441,-0.522179372587737,0.01648159386191695,50
IUP_Eurasia_45ka,EastAsia_Iron_Classical,R,-0.24370028302949165,0.20144652908357974,-1.209751709985437,0.3817809810964158,50
IUP_Eurasia_45ka,EastAsia_LateGlacial_Meso,D_VA,-0.006363554461920121,0.00942474627989926,-0.6751963684679839,0.017752232271637542,50
IUP_Eurasia_45ka,EastAsia_LateGlacial_Meso,R,-0.314938104932061,0.23616425302758612,-1.3335553577419414,0.3946310257732938,50
IUP_Eurasia_45ka,EastAsia_Medieval_Recent,D_VA,-0.004429142726877361,0.008448976859026715,-0.5242223763632818,0.016778788487463135,50
IUP_Eurasia_45ka,EastAsia_Medieval_Recent,R,-0.23272698426253968,0.20337821272757742,-1.144306369602503,0.38091774427606434,50
IUP_Eurasia_45ka,EastAsia_Neolithic,D_VA,-0.008220866953753472,0.008225432480460766,-0.9994449499502744,0.016490793982539675,50
IUP_Eurasia_45ka,EastAsia_Neolithic,R,-0.492337076121137,0.24755623252190556,-1.9887888545790156,0.4256926082951406,50
IUP_Eurasia_45ka,Europe_Bronze,D_VA,-0.004896731210387598,0.008301922236868969,-0.5898310139115899,0.016156235176406932,50
IUP_Eurasia_45ka,Europe_Bronze,R,-0.24856782231708818,0.22397327164015562,-1.1098102041231381,0.38639228367888295,50
IUP_Eurasia_45ka,Europe_Iron_Classical,D_VA,-0.005367132770680752,0.008265143896015318,-0.6493695497870622,0.016351594988824814,50
IUP_Eurasia_45ka,Europe_Iron_Classical,R,-0.3042666019821554,0.2291528906245728,-1.327788626854563,0.39768133338200073,50
IUP_Eurasia_45ka,Europe_LateGlacial_Meso,D_VA,-0.002056505501129957,0.008989472159420682,-0.2287682151587515,0.016907961959626395,50
IUP_Eurasia_45ka,Europe_LateGlacial_Meso,R,-0.18584831230511845,0.2301030960651816,-0.8076741055777579,0.3908612333761568,50
IUP_Eurasia_45ka,Europe_Medieval_Recent,D_VA,-0.006730659446176762,0.00799549141383571,-0.8418068506120546,0.01619702619831004,50
IUP_Eurasia_45ka,Europe_Medieval_Recent,R,-0.2900808081184585,0.21490392530239957,-1.349816238629772,0.3862755077894171,50
IUP_Eurasia_45ka,Europe_Neolithic,D_VA,-0.005600864305337128,0.008436524984480165,-0.6638828564652485,0.01668231369743439,50
IUP_Eurasia_45ka,Europe_Neolithic,R,-0.32173616026392704,0.23452438785196095,-1.3718665389589115,0.401503025563025,50
IUP_Eurasia_45ka,Europe_Palaeolithic,D_VA,0.0016576794233312403,0.006398697921339517,0.25906511663926435,0.01653522572502218,50
IUP_Eurasia_45ka,Europe_Palaeolithic,R,0.07981157088392021,0.14156428984918024,0.56378321799198,0.3378550523448951,50
IUP_Eurasia_45ka,InnerAsia_Bronze,D_VA,-0.0016019099228981176,0.009312545667186938,-0.1720163293848319,0.016482585838009347,50
IUP_Eurasia_45ka,InnerAsia_Bronze,R,-0.15454779766850524,0.2285258157012482,-0.6762815710525483,0.3954142941264119,50
IUP_Eurasia_45ka,InnerAsia_Iron_Classical,D_VA,-0.002651844889003635,0.007751747243087058,-0.3420964081831393,0.015691903516068736,50
IUP_Eurasia_45ka,InnerAsia_Iron_Classical,R,-0.179589468451556,0.19573433157375034,-0.9175164469493633,0.36254612329685576,50
IUP_Eurasia_45ka,InnerAsia_Medieval_Recent,D_VA,-0.0025842060642527614,0.00796386092950462,-0.32449161118305814,0.01583909953118916,50
IUP_Eurasia_45ka,InnerAsia_Medieval_Recent,R,-0.2758364660156747,0.21791835160810677,-1.2657789671230852,0.3812702622241827,50
