arm,sites_called,informative,typical_D_VA,limit,statistical_floor,systematic_floor,median_paired_se,kappa,f50,f80,analytic_f50
AADR,507219,17824,0.07368772531967363,0.007271501929311869,0.007271501929311869,0.0015347342507375974,0.0036357509646559347,0.3262816915105422,0.3769516957230268,0.6410540510169681,0.3024379378258837
BCF,947044,31067,0.021422783795314496,0.0067757940704714316,0.0067757940704714316,0.0012290164945454138,0.0033878970352357158,0.9679912689797514,0.40224791508718727,0.7546815248565966,0.3267479364940639
