replacement,label,fraction,alpha,D_VA_base,D_VA_mixed,realised,predicted,kappa,implied_source_D_VA
equidistant,Caucasus_Bronze,0.0,0.0183268110749185,0.07113024251146137,0.07113024251146137,0.0,-0.0,,3.88121218801715
equidistant,Caucasus_Bronze,0.02,0.0183268110749185,0.07113024251146137,0.07070186491077521,-0.00042837760068616115,-0.0014226048502292274,0.30112198803282286,3.88121218801715
equidistant,Caucasus_Bronze,0.05,0.0183268110749185,0.07113024251146137,0.0700592797939617,-0.0010709627174996655,-0.003556512125573069,0.3011272504313756,3.88121218801715
equidistant,Caucasus_Bronze,0.1,0.0183268110749185,0.07113024251146137,0.06898825468760429,-0.0021419878238570778,-0.007113024251146138,0.30113602150476776,3.88121218801715
equidistant,Caucasus_Bronze,0.133,0.0183268110749185,0.07113024251146137,0.06828134393814438,-0.0028488985733169936,-0.009460322254024362,0.30114181069308604,3.88121218801715
equidistant,Caucasus_Bronze,0.15,0.0183268110749185,0.07113024251146137,0.06791716718693774,-0.003213075324523626,-0.010669536376719205,0.3011447930890902,3.88121218801715
equidistant,Caucasus_Bronze,0.2,0.0183268110749185,0.07113024251146137,0.06684601728650945,-0.004284225224951921,-0.014226048502292275,0.3011535651844287,3.88121218801715
equidistant,Caucasus_Bronze,0.3,0.0183268110749185,0.07113024251146137,0.06470353026455372,-0.006426712246907648,-0.02133907275343841,0.3011711109083734,3.88121218801715
equidistant,Caucasus_Bronze,0.4,0.0183268110749185,0.07113024251146137,0.06256082861232369,-0.008569413899137679,-0.02845209700458455,0.30118742733644094,3.88121218801715
equidistant,Caucasus_Bronze,0.5,0.0183268110749185,0.07113024251146137,0.06042384133493135,-0.010706401176530017,-0.035565121255730685,0.30103654362783516,3.88121218801715
equidistant,Caucasus_Bronze,0.7,0.0183268110749185,0.07113024251146137,0.05616399099620225,-0.01496625151525912,-0.04979116975802295,0.30058043600888845,3.88121218801715
equidistant,Caucasus_Bronze,1.0,0.0183268110749185,0.07113024251146137,0.04979134697879971,-0.02133889553266166,-0.07113024251146137,0.2999975085031276,3.88121218801715
equidistant,Caucasus_Iron_Classical,0.0,0.0193248661417322,0.06868836838819892,0.06868836838819892,0.0,-0.0,,3.5544033208005437
equidistant,Caucasus_Iron_Classical,0.02,0.0193248661417322,0.06868836838819892,0.06823978228155153,-0.0004485861066473862,-0.0013737673677639785,0.32653716864561305,3.5544033208005437
equidistant,Caucasus_Iron_Classical,0.05,0.0193248661417322,0.06868836838819892,0.06756688765069352,-0.0011214807375053981,-0.003434418419409946,0.32654167330551276,3.5544033208005437
equidistant,Caucasus_Iron_Classical,0.1,0.0193248661417322,0.06868836838819892,0.06644535534166812,-0.002243013046530795,-0.006868836838819892,0.3265491813481711,3.5544033208005437
equidistant,Caucasus_Iron_Classical,0.133,0.0193248661417322,0.06868836838819892,0.06570511576510434,-0.0029832526230945816,-0.009135552995630456,0.3265541368455171,3.5544033208005437
equidistant,Caucasus_Iron_Classical,0.15,0.0193248661417322,0.06868836838819892,0.0653237714575649,-0.0033645969306340118,-0.010303255258229838,0.32655668973613977,3.5544033208005437
equidistant,Caucasus_Iron_Classical,0.2,0.0193248661417322,0.06868836838819892,0.06420213599482642,-0.004486232393372494,-0.013737673677639783,0.32656419846939155,3.5544033208005437
