arm,b,b_se,var_share
individuals,0.20145048985176656,0.03312986777825121,0.18283193551202612
tracts,0.24611178948457954,0.03571897081330837,0.22788358378998935
variants,0.3101128064752091,0.03624730102774285,0.37957113462002107
