label,kind,alpha,n_ind,D_VA,signal_per_f,kappa,denom_sum,n_snp
CentralAsia_Iron_Classical,grid,0.0180061119402985,134,0.0715679413941012,-0.020967801936352393,0.29297757526501395,4920.183011642634,507218
Caucasus_Neolithic,grid,0.0182660306122448,98,0.0696914335354593,-0.020855151400092642,0.2992498552850323,4943.450284271794,507218
Caucasus_Bronze,grid,0.0183268110749185,307,0.07113024251146137,-0.021419878238570778,0.30113602150476776,4931.293540581168,507219
CentralAsia_Bronze,grid,0.0189954729729729,74,0.0677848126380172,-0.021479612408003695,0.3168794243440429,4915.626745192625,507201
NearEast_Bronze,grid,0.0190267924528301,106,0.0675090313620291,-0.02163213452035559,0.3204331936618887,4917.829059568285,507214
CentralAsia_Medieval_Recent,grid,0.0190756046511627,43,0.0695164906601158,-0.02150904523797445,0.3094092500028197,4910.2287038990535,507219
CentralAsia_Neolithic,grid,0.0191142285714285,35,0.06271985453391833,-0.021183588275348192,0.3377493208931519,4901.180185198289,507217
NearEast_Medieval_Recent,grid,0.0192772083333333,24,0.06721860334235924,-0.021194352129771665,0.3153048572256721,4882.982151782898,507214
Caucasus_Iron_Classical,grid,0.0193248661417322,127,0.06868836838819892,-0.02243013046530795,0.3265491813481711,4918.506152934451,507219
Caucasus_Medieval_Recent,grid,0.0198728333333333,36,0.07196202841290465,-0.022303520116075393,0.3099345669927752,4913.787687407732,507219
NULLcov_Europe_Neolithic_LO,null-coverage,0.0200167688098495,731,0.07383066101615489,-0.023362025637587575,0.31642714985953774,4941.655258104765,507219
EastAsia_Neolithic,grid,0.0200613533333333,150,0.07590787659106202,-0.022811331044496896,0.30051335999540896,4923.823228065847,507219
PD_Sardinian,present-day,0.0201810967741935,31,0.07240216747762837,-0.022861497345401244,0.31575708493071347,4895.130764208132,505853
SouthAsia_Iron_Classical,grid,0.0201930597014925,67,0.07067936888113358,-0.022449837620087537,0.31762928808607493,4913.05472716574,507219
ANC_Americas,ancient-other,0.0202349555555555,855,0.07869144214465712,-0.023994625453027524,0.3049203928543922,4944.6025258608515,507219
InnerAsia_Medieval_Recent,grid,0.0202949508196721,61,0.07364600344905935,-0.02312652915419447,0.31402286710902105,4909.45633937065,507216
Siberia_Neolithic,grid,0.0203088333333333,66,0.07454179061633062,-0.022434901292399806,0.3009707857418274,4951.749317459272,507214
NULLrand_Europe_Neolithic_r0A,null-random,0.0203305212038303,731,0.0745024722676462,-0.023847071976975526,0.32008430393163567,4944.613793538727,507219
PD_Japanese,present-day,0.0203658387096774,31,0.07508584374168756,-0.022300897620785298,0.29700535426498603,4905.234575669898,506357
NULLrand_Europe_Iron_Classical_r2A,null-random,0.0204388845686512,823,0.0749646337893456,-0.024245644385307435,0.3234277706663507,4940.15623813011,507219
InnerAsia_Bronze,grid,0.0204402372881356,59,0.07525517662769106,-0.022983473509915336,0.3054072097075949,4944.259794635314,507190
NULLrand_Europe_Bronze_r0A,null-random,0.0204624720670391,716,0.07481233611634261,-0.0240874664101641,0.3219718519777949,4947.807886938144,507219
NULLrand_Europe_Iron_Classical_r1A,null-random,0.0204778772782503,823,0.07415806712603301,-0.024296945257265,0.32763725106227337,4938.783499169513,507219
PD_Basque,present-day,0.0204825199999999,25,0.07553885582638206,-0.022937596226865753,0.30365294755834465,4908.497993439862,505846
NULLrand_Europe_Neolithic_r1A,null-random,0.020486928864569,731,0.07402094108483914,-0.02403178216859328,0.32466193777581454,4945.136739036978,507219
NULLrand_Europe_Iron_Classical_r0B,null-random,0.0204992223572296,823,0.07463487032263888,-0.024301922284794275,0.32561083284180115,4939.631078820242,507219
UP_NorthEastAsia,named,0.02052625,8,0.07348743320075606,-0.02051937873936302,0.2792229616090593,4925.760694114719,507215
NULLrand_Europe_Bronze_r2B,null-random,0.0205517946927374,716,0.07502049979922987,-0.02416421581509523,0.32210150398575843,4946.092113772259,507219
NULLrand_Europe_Neolithic_r2B,null-random,0.0205551094391244,731,0.07472762614404725,-0.0241201428817249,0.3227741081354595,4943.522864411706,507219
NULLcov_Europe_Iron_Classical_LO,null-coverage,0.020565645200486,823,0.07480869786814401,-0.02436255835486789,0.3256647829615848,4937.235878277921,507219
Europe_Neolithic,grid,0.0206025615595075,1462,0.07441892564956344,-0.02434420882617,0.3271238950802135,4944.655752829429,507219
NULLrand_Europe_Neolithic_r2A,null-random,0.0206500136798905,731,0.0740928490595982,-0.02421978350264864,0.3268842244568963,4945.811540797459,507219
Europe_Iron_Classical,grid,0.0206666561360874,1646,0.07481129484582384,-0.024699926744715384,0.3301630695688219,4939.550204247855,507219
NearEast_Iron_Classical,grid,0.0206668620689655,29,0.07084801367528111,-0.022523970925851233,0.3179195824612067,4912.869886675709,507208
NULLrand_Europe_Bronze_r1A,null-random,0.0206918896648044,716,0.07479745800405033,-0.02439303357594652,0.3261211574145424,4947.871552427711,507219
NULLcov_Europe_Bronze_LO,null-coverage,0.020703533519553,716,0.07429311086124481,-0.024222458139457753,0.32603908839808,4946.670394934936,507218
NULLrand_Europe_Neolithic_r1B,null-random,0.0207181942544459,731,0.07481045188134865,-0.024319257979834724,0.32507834625041043,4944.227257151301,507219
Europe_Bronze,grid,0.0207338002793296,1432,0.07502880956317765,-0.02462486523506266,0.3282054637202715,4946.629877688227,507219
NULLcov_Europe_Bronze_HI,null-coverage,0.0207640670391061,716,0.07529509679712308,-0.02458144431916026,0.32646806186321925,4946.864437565588,507219
NULLcov_Europe_Iron_Classical_HI,null-coverage,0.0207676670716889,823,0.07481473571331168,-0.02469308943478951,0.33005649487840005,4940.845873925925,507219
NULLrand_Europe_Bronze_r1B,null-random,0.0207757108938547,716,0.07524113475176669,-0.02449245745381759,0.3255195118285014,4945.384908295333,507219
NULLrand_Europe_Iron_Classical_r0A,null-random,0.0208340899149453,823,0.07500989393567922,-0.02473805148107494,0.3297971798532038,4939.494213070506,507219
