arm,fraction,rep,n_sites_kept,n_informative,median_n_ind,se_median,se_independent_median,n_pairs,se_both-large,se_both-small,se_mixed,median_cohort_n_snp
sites,1.0,0,507219,17824,822.0,0.004199132969159948,0.009718166337228797,15,0.0013512450498767165,0.004445476946699947,0.004612424025496578,
sites,0.5,0,254362,8955,822.0,0.005517332368040777,0.012840877745011862,15,0.0018731826503056144,0.00606190097416529,0.0059010212103209865,
sites,0.5,1,253402,8873,822.0,0.005138745622975891,0.012673485523184135,15,0.0015453773060803049,0.005581240846305175,0.005705786262424022,
sites,0.5,2,254381,8958,822.0,0.005126428680291866,0.011914989282527712,15,0.001839167014144293,0.005529534033851337,0.005741962079197866,
sites,0.5,3,254322,8916,822.0,0.005226444167332558,0.01268437532686321,15,0.0017648944374537728,0.00579560196540191,0.005588599068755681,
sites,0.25,0,127148,4486,822.0,0.007734158558118553,0.015950966480537218,15,0.00200502439612773,0.008750866851920823,0.0078692558385914,
sites,0.25,1,127409,4504,822.0,0.005946938396601597,0.01606948996478448,15,0.0022577083455280525,0.0066421644564129065,0.006135418500943599,
sites,0.25,2,126697,4443,822.0,0.008655062011207897,0.014690044535820177,15,0.002257864661675538,0.00912334133271956,0.008917071839356026,
sites,0.25,3,126038,4468,822.0,0.0069077841796807106,0.016864739721231686,15,0.001703568626893749,0.007571544315199833,0.007469622458193358,
sites,0.125,0,63771,2179,822.0,0.011106779923843464,0.024626813905936937,15,0.0031370254477259556,0.011448657026306512,0.011169401502316278,
sites,0.125,1,63396,2212,822.0,0.008437226344034932,0.01744814968557045,15,0.003017265647585168,0.008705812855599558,0.009531001337815483,
sites,0.125,2,63235,2226,822.0,0.00867357618359509,0.020323053228376384,15,0.0021909153561870576,0.01036686829437902,0.009054754094020005,
sites,0.125,3,63656,2258,822.0,0.009678419776012456,0.026421076803482074,15,0.0029708745452609792,0.009678419776012456,0.01072176857000699,
individuals,1.0,0,507219,17824,822.0,0.004199132969159948,0.009718166337228797,15,0.0013512450498767165,0.004445476946699947,0.004612424025496578,507219.0
individuals,0.5,0,507219,17824,411.0,0.004167011461932677,0.009767208534700809,15,0.001443092674255064,0.0046690217116449875,0.004602450906755559,507219.0
individuals,0.5,1,507219,17824,411.0,0.004301457461037337,0.009720999889274282,15,0.0014213596130895356,0.0044403387379252715,0.004758836951050003,507219.0
individuals,0.5,2,507219,17824,411.0,0.00420229325493736,0.009730383385219135,15,0.0013557742390584338,0.004508794929660012,0.004683448233333337,507219.0
individuals,0.5,3,507219,17824,411.0,0.00445832145800292,0.010006581084399738,15,0.0013700459585908806,0.004738022435444326,0.004720623262445244,507219.0
individuals,0.25,0,507219,17824,205.5,0.004503146002751163,0.009690908658054529,15,0.0014384328270756349,0.0051695161477153095,0.00487231559104297,507218.5
individuals,0.25,1,507219,17824,205.5,0.004477409975892044,0.009861487059896295,15,0.001374948054258652,0.004675275109622342,0.0047147053429031196,507219.0
individuals,0.25,2,507219,17824,205.5,0.004711624964436133,0.010128585538930767,15,0.001415504498518697,0.00505924049951228,0.004791278906369847,507219.0
individuals,0.25,3,507219,17824,205.5,0.004410778219759303,0.009828816965079866,15,0.0014664117507747325,0.004536819466814111,0.004709435562099738,507219.0
individuals,0.125,0,507219,17824,102.5,0.005004479156234894,0.010349028732892836,15,0.002066519562866284,0.005004479156234894,0.005341287507818593,507217.5
individuals,0.125,1,507219,17824,102.5,0.004387720290507295,0.009597299486679901,15,0.0017664992522790652,0.0048277127185521775,0.004843005382765026,507219.0
individuals,0.125,2,507219,17824,102.5,0.004474205589961002,0.009645583349338753,15,0.0018692777221879719,0.004474205589961002,0.004868844962941145,507218.0
individuals,0.125,3,507219,17824,102.5,0.004994902052885295,0.00994824472277072,15,0.0017216574393115124,0.005313827892781133,0.005223051399019582,507217.5
