covariate,rho,p,n
date_bp,-0.3536585365853659,0.025175076803308733,40
median_coverage,-0.2401500938086304,0.13553640205559134,40
median_damage,-0.19457211760191712,0.24176568261189416,38
median_snps,-0.15515947467166982,0.3390703785101923,40
