label,residual,residual_se,residual_z,in_fit,D_VA_matched,D_VA_matched_se,n_snp_matched
IUP_Eurasia_45ka,-0.010576244590327619,0.010548045124964305,-1.0026734304820686,False,0.07448308060004957,0.011678251898465343,136479.0
UP_Europe_pre_LGM,-0.015881511176076238,0.011664231610088624,-1.3615565694306007,False,0.07891881378300716,0.013731679407340519,136479.0
UP_Europe_post_LGM,-0.014815174300912129,0.012965058416383877,-1.1427001580023943,False,0.05831320201869716,0.013183836037108562,136479.0
UP_NorthEastAsia,-0.005499094334589949,0.011412495844692186,-0.48184852896551206,False,0.07623401454618582,0.013653555199684099,136479.0
UstIshim_44ka,-0.008838122394804443,0.018649900649357752,-0.4738964866876544,False,0.060317786547387675,0.0188362381413105,136479.0
Caucasus_Bronze,0.0009396233708424406,0.0033398075685916557,0.2813405717379894,True,0.0729254441339898,0.010804708541084496,136479.0
Caucasus_Iron_Classical,-0.0002781143630483651,0.00375134454587168,-0.07413724856449867,True,0.07285460819022403,0.011164107342414697,136479.0
Caucasus_Medieval_Recent,0.0027020859031289535,0.005319378421499984,0.5079702343054974,True,0.07721023389953173,0.010776195054522476,136479.0
Caucasus_Neolithic,-0.0011072981370461171,0.004197913410666547,-0.26377345807861713,True,0.07205120576643809,0.011643910130179643,136479.0
CentralAsia_Bronze,-0.005441881797795589,0.004946372050648456,-1.1001764004149612,True,0.07035784402066361,0.010970247322537064,136479.0
CentralAsia_Iron_Classical,-3.184608430925606e-05,0.004072804908233312,-0.007819202006184517,True,0.07300708069903733,0.009904188523731913,136479.0
CentralAsia_Medieval_Recent,-0.0007308818843252962,0.004655682606485549,-0.15698705133102267,True,0.07307795339341973,0.010997395132202515,136479.0
CentralAsia_Neolithic,-0.01216617350165139,0.005526542427498066,-2.2014077809512385,True,0.05617380430597588,0.010751467300300107,136479.0
EastAsia_Bronze,0.004301688974455958,0.005488760355601648,0.7837268701421436,True,0.07766631225905485,0.011798817266759512,136479.0
EastAsia_Iron_Classical,0.0012295215553458916,0.005456607891928427,0.2253270859290871,True,0.07756365956663269,0.01156681190090395,136479.0
EastAsia_LateGlacial_Meso,0.00539077459579701,0.008523093747501521,0.6324903556736394,True,0.08123209277306465,0.013374589576513147,136479.0
EastAsia_Medieval_Recent,0.00023950568091642144,0.005170093556508804,0.04632521216466184,True,0.07762107059656513,0.01200838406556823,136479.0
EastAsia_Neolithic,0.012242661241455913,0.006107473248392772,2.004537841353241,True,0.08164270852275038,0.011576275560041847,136479.0
Europe_Bronze,0.002010699090606957,0.0037832193220237727,0.5314783308759815,True,0.07840036210508008,0.011068899836411806,136479.0
Europe_Iron_Classical,0.004690506297522309,0.003471554612010032,1.3511255969574114,True,0.07903311561195718,0.0112796181342727,136479.0
Europe_LateGlacial_Meso,-0.0016166238718582499,0.006620294328262999,-0.24419214489552943,True,0.07481913413907171,0.01217178965679128,136479.0
Europe_Medieval_Recent,0.004165885742868289,0.0026265425295888636,1.5860720684847927,True,0.08057219375475164,0.011086854532612617,136479.0
Europe_Neolithic,0.00546047065697744,0.005172247396934906,1.0557249562759383,True,0.07931190276382169,0.011806214393161962,136479.0
Europe_Palaeolithic,-0.014830156977706968,0.008287038411980464,-1.7895605450877605,True,0.07365711584659096,0.011715182890807044,136479.0
InnerAsia_Bronze,-0.0035284946066329453,0.005272200113972011,-0.6692641649322034,True,0.07411947812545236,0.011782332329776117,136479.0
InnerAsia_Iron_Classical,-0.0012763230055044261,0.002850249771619649,-0.4477933892716911,True,0.07674945532883022,0.01045194549632084,136479.0
InnerAsia_Medieval_Recent,0.0035709309248304205,0.004403089163449758,0.8110058171142387,True,0.07694049338646863,0.010449411029170918,136479.0
NearEast_Bronze,0.008866947980676818,0.005350767378058745,1.6571357628134715,True,0.07801233916565503,0.011895599670287693,136479.0
NearEast_Iron_Classical,0.0024088422791683356,0.007461558208684995,0.3228336778723413,True,0.07451296642728465,0.01340482389383521,136479.0
NearEast_Medieval_Recent,0.019422217144730372,0.006599559016122169,2.942956809278245,True,0.0829719020215935,0.011566643027076011,136479.0
Siberia_Bronze,-0.004412621507778644,0.0038907698590079157,-1.1341255503875503,True,0.07563732394760136,0.011289716074053196,136479.0
Siberia_Iron_Classical,-0.005862124283841641,0.0037270984718701817,-1.5728385842459771,True,0.0717511688583345,0.01090634619432447,136479.0
Siberia_Neolithic,-0.006901699194134497,0.006544744658681794,-1.054540635894663,True,0.0729494154188641,0.0122457350573006,136479.0
SouthAsia_Iron_Classical,0.0026205521045063185,0.006854283910137817,0.3823232505193424,True,0.07232559099001605,0.011500025320587172,136479.0
SouthAsia_Medieval_Recent,0.000852747858986494,0.008492036139334335,0.10041736104214675,True,0.07633702303363187,0.011523517969385983,136479.0
WestSiberia_Bronze,-0.0038976223912874502,0.0033782196228143756,-1.1537504444546336,True,0.07330222031359539,0.011096452996335137,136479.0
WestSiberia_Iron_Classical,-0.0015497557981675458,0.003387352007153348,-0.4575124743146859,True,0.07424343281565104,0.011629025395720326,136479.0
WestSiberia_LateGlacial_Meso,-0.0035251281080132535,0.00722424497863563,-0.48795799677864865,True,0.07982330298606344,0.013442025079303197,136479.0
WestSiberia_Medieval_Recent,-0.0005459717867903335,0.0033131172597661773,-0.1647909639119943,True,0.07469927280406709,0.010873841218206157,136479.0
WestSiberia_Neolithic,-0.004889246940945627,0.005696521644859948,-0.8582863799626327,True,0.07403243564109391,0.012148743911733217,136479.0
