cohort_a,cohort_b,statistic,diff,se,z,se_independent,n_blocks_used
IUP_Eurasia_45ka,UP_Europe_pre_LGM,D_VA,-0.007475468889537831,0.007540823829313222,-0.9913331830507247,0.009867800097083537,50
IUP_Eurasia_45ka,UP_Europe_pre_LGM,R,-0.1888882826909708,0.24357915532482913,-0.7754698157117575,0.40235093722236115,50
IUP_Eurasia_45ka,UP_Europe_post_LGM,D_VA,-0.015617833766475936,0.007920264140035702,-1.9718829435915173,0.01008244400292895,50
IUP_Eurasia_45ka,UP_Europe_post_LGM,R,-0.4878379217405693,0.27588269369114254,-1.7682802614893844,0.41576259818266786,50
IUP_Eurasia_45ka,UP_NorthEastAsia,D_VA,-0.008417159184449949,0.007163633109339308,-1.1749846838856675,0.0098170469222654,50
IUP_Eurasia_45ka,UP_NorthEastAsia,R,-0.5898174682302846,0.31803486072744186,-1.8545686057220072,0.5023273913422589,50
IUP_Eurasia_45ka,Oase1_40ka,D_VA,-0.008571382834809821,0.04844226006965208,-0.17694019276733927,0.04731219031935414,50
IUP_Eurasia_45ka,Oase1_40ka,R,1.042512013693647,0.4949688443855579,2.1062174428125786,0.49151039278638464,50
IUP_Eurasia_45ka,UstIshim_44ka,D_VA,0.008812099710886444,0.008322666703263646,1.058807233915888,0.014011101792767992,50
IUP_Eurasia_45ka,UstIshim_44ka,R,-0.06691675569069622,0.36161705032682634,-0.18504867408828604,0.559044695833566,50
IUP_Eurasia_45ka,Caucasus_Bronze,D_VA,-0.006059968495155263,0.005158172340533588,-1.1748286205048333,0.009139943045766062,50
IUP_Eurasia_45ka,Caucasus_Bronze,R,-0.6906049796325451,0.21524641214848847,-3.208438982741923,0.43571136809553906,50
IUP_Eurasia_45ka,Caucasus_Iron_Classical,D_VA,-0.0036180943718928105,0.004841047281915766,-0.7473784413154932,0.009193895050541107,50
IUP_Eurasia_45ka,Caucasus_Iron_Classical,R,-0.5949016047321163,0.1989885188785542,-2.9896277839788032,0.41927178755979433,50
IUP_Eurasia_45ka,Caucasus_Medieval_Recent,D_VA,-0.006891754396598546,0.00498680913592253,-1.3819968257765718,0.009157414989569143,50
IUP_Eurasia_45ka,Caucasus_Medieval_Recent,R,-0.6671140172047385,0.21105629923089053,-3.160834429655813,0.4252440131729545,50
IUP_Eurasia_45ka,Caucasus_Neolithic,D_VA,-0.004621159519153192,0.005238963342142198,-0.8820751773505657,0.009417017763703834,50
IUP_Eurasia_45ka,Caucasus_Neolithic,R,-0.6443764917587906,0.21224403950212942,-3.036016904268945,0.42644720703287536,50
IUP_Eurasia_45ka,CentralAsia_Bronze,D_VA,-0.002714538621711088,0.005168296672409306,-0.5252288701232104,0.009238169073601287,50
IUP_Eurasia_45ka,CentralAsia_Bronze,R,-0.5255847603347481,0.1994516959119641,-2.6351481140914226,0.40336327487531304,50
IUP_Eurasia_45ka,CentralAsia_Iron_Classical,D_VA,-0.006497667377795099,0.005194483477430816,-1.250878437870946,0.00907285932461427,50
IUP_Eurasia_45ka,CentralAsia_Iron_Classical,R,-0.7007790948644506,0.22370844675222773,-3.1325553640833728,0.43347276892590014,50
IUP_Eurasia_45ka,CentralAsia_Medieval_Recent,D_VA,-0.004446216643809689,0.005854544652842376,-0.7594470462619248,0.00908019227406843,50
IUP_Eurasia_45ka,CentralAsia_Medieval_Recent,R,-0.6514042668306235,0.23564977502972667,-2.764289788727574,0.4287427743029645,50
IUP_Eurasia_45ka,CentralAsia_Neolithic,D_VA,0.002350419482387775,0.005571690042436787,0.4218503657751599,0.0096814731961274,50
IUP_Eurasia_45ka,CentralAsia_Neolithic,R,-0.7608849128953328,0.272366853361699,-2.793603199156137,0.4802628857922156,50
IUP_Eurasia_45ka,EastAsia_Bronze,D_VA,-0.009285271580837764,0.005948461123386262,-1.5609535623142758,0.010421709053016337,50
IUP_Eurasia_45ka,EastAsia_Bronze,R,-0.5646740482410058,0.23894170169701343,-2.3632293744899857,0.4404854323378919,50
IUP_Eurasia_45ka,EastAsia_Iron_Classical,D_VA,-0.010098092448524956,0.005610892602257015,-1.799730125731321,0.010170636283196945,50
IUP_Eurasia_45ka,EastAsia_Iron_Classical,R,-0.554312113780697,0.23214796710801436,-2.3877534689881017,0.43945221391154776,50
IUP_Eurasia_45ka,EastAsia_LateGlacial_Meso,D_VA,-0.005828755751330225,0.006738736052633766,-0.8649627624236916,0.010766026842455518,50
IUP_Eurasia_45ka,EastAsia_LateGlacial_Meso,R,-0.46967097374742006,0.28237325913267686,-1.6632983420244438,0.4601139358945609,50
IUP_Eurasia_45ka,EastAsia_Medieval_Recent,D_VA,-0.009141301782067637,0.005412913207089737,-1.6887951889002255,0.010087773007715822,50
IUP_Eurasia_45ka,EastAsia_Medieval_Recent,R,-0.5179939788014816,0.20902786267621593,-2.478109722644268,0.4194439968289144,50
IUP_Eurasia_45ka,EastAsia_Neolithic,D_VA,-0.010837602574755911,0.0058323693539954384,-1.8581817983340956,0.010169466733478634,50
IUP_Eurasia_45ka,EastAsia_Neolithic,R,-0.7650020140035758,0.2801613258964518,-2.7305767901966673,0.4844078965633658,50
IUP_Eurasia_45ka,Europe_Bronze,D_VA,-0.009958535546871539,0.005337499285269032,-1.8657680337974203,0.009169488236447766,50
IUP_Eurasia_45ka,Europe_Bronze,R,-0.656788337280447,0.20901350980221778,-3.142324809061113,0.42452962502095964,50
IUP_Eurasia_45ka,Europe_Iron_Classical,D_VA,-0.009741020829517735,0.0052436098166351265,-1.8576936824350976,0.009124579724999535,50
IUP_Eurasia_45ka,Europe_Iron_Classical,R,-0.7077770725075421,0.21371607609591364,-3.3117633705285643,0.428173200499744,50
IUP_Eurasia_45ka,Europe_LateGlacial_Meso,D_VA,-0.011414394545638681,0.005840196252974845,-1.954453934630105,0.009190353650814472,50
IUP_Eurasia_45ka,Europe_LateGlacial_Meso,R,-0.6640889040367293,0.24063270468350845,-2.7597616247141903,0.4368891892153341,50
IUP_Eurasia_45ka,Europe_Medieval_Recent,D_VA,-0.01117259488169195,0.005003627154013574,-2.2328991625065515,0.00912135532289087,50
IUP_Eurasia_45ka,Europe_Medieval_Recent,R,-0.6480932906205508,0.19066489152062494,-3.3991223316036874,0.40973873365369196,50
IUP_Eurasia_45ka,Europe_Neolithic,D_VA,-0.009348651633257335,0.005510612849841746,-1.6964812967265173,0.009395594629587422,50
IUP_Eurasia_45ka,Europe_Neolithic,R,-0.666256569984349,0.22185896688899454,-3.0030635197075695,0.4269641006723692,50
IUP_Eurasia_45ka,Europe_Palaeolithic,D_VA,-0.005709988736704377,0.004781645379409063,-1.1941472617967421,0.008763331791555473,50
IUP_Eurasia_45ka,Europe_Palaeolithic,R,-0.1486989598493771,0.14357453430881562,-1.0356917441190463,0.36570539549548353,50
IUP_Eurasia_45ka,InnerAsia_Bronze,D_VA,-0.010184902611384952,0.005572323769459067,-1.827765763936156,0.00981403814414627,50
IUP_Eurasia_45ka,InnerAsia_Bronze,R,-0.569980022893495,0.2034500221579932,-2.801572675430163,0.4241106593782061,50
IUP_Eurasia_45ka,InnerAsia_Iron_Classical,D_VA,-0.008832830162725666,0.005023942557732366,-1.7581471247379268,0.009250977406965068,50
IUP_Eurasia_45ka,InnerAsia_Iron_Classical,R,-0.5166298321061411,0.1882910920222217,-2.7437826535371603,0.40093718050608984,50
IUP_Eurasia_45ka,InnerAsia_Medieval_Recent,D_VA,-0.00857572943275324,0.0053821457164897534,-1.5933662677468994,0.009465546931815356,50
IUP_Eurasia_45ka,InnerAsia_Medieval_Recent,R,-0.5991086233296923,0.21901015498786455,-2.735528968338884,0.41708714741696556,50
IUP_Eurasia_45ka,NearEast_Bronze,D_VA,-0.0024387573457229916,0.005596205638013465,-0.43578765747226883,0.00941332766648264,50
IUP_Eurasia_45ka,NearEast_Bronze,R,-0.6853946929406278,0.23639331956166934,-2.899382665345688,0.4434600682036948,50
IUP_Eurasia_45ka,NearEast_Iron_Classical,D_VA,-0.0057777396589750035,0.006284333418496124,-0.9193878291005204,0.009803733791964269,50
IUP_Eurasia_45ka,NearEast_Iron_Classical,R,-0.6702518126958827,0.259560367178428,-2.5822579154973053,0.42755627440659993,50
IUP_Eurasia_45ka,NearEast_Medieval_Recent,D_VA,-0.0021483293260531333,0.005745898087680261,-0.37388921510100415,0.009361454159221764,50
IUP_Eurasia_45ka,NearEast_Medieval_Recent,R,-0.6984108971668854,0.2449804526052523,-2.8508841817361867,0.41649664012116,50
IUP_Eurasia_45ka,Siberia_Bronze,D_VA,-0.009834983063444658,0.005604501132914258,-1.7548364841404913,0.00952498826929397,50
IUP_Eurasia_45ka,Siberia_Bronze,R,-0.49509316495716704,0.19539269853713953,-2.5338365694512457,0.4074574822830279,50
IUP_Eurasia_45ka,Siberia_Iron_Classical,D_VA,-0.009288603015876806,0.005042161820876838,-1.8421866147607113,0.009727418248410153,50
IUP_Eurasia_45ka,Siberia_Iron_Classical,R,-0.5248922230796091,0.19884227562330403,-2.6397415812821876,0.4196414544336149,50
IUP_Eurasia_45ka,Siberia_Neolithic,D_VA,-0.009471516600024515,0.006304965794230178,-1.5022312426646505,0.01019462082736517,50
IUP_Eurasia_45ka,Siberia_Neolithic,R,-0.5046456058015825,0.21732507377915034,-2.3220772321670182,0.4339842188509747,50
IUP_Eurasia_45ka,SouthAsia_Iron_Classical,D_VA,-0.0056090948648274686,0.006053599311382409,-0.9265718750629643,0.010691067289258479,50
IUP_Eurasia_45ka,SouthAsia_Iron_Classical,R,-0.5766868109610928,0.2760802293938333,-2.0888377709163626,0.48758350017396457,50
IUP_Eurasia_45ka,SouthAsia_Medieval_Recent,D_VA,-0.005943397330153255,0.00591595763545812,-1.0046382507086717,0.009947148753478307,50
IUP_Eurasia_45ka,SouthAsia_Medieval_Recent,R,-0.4755895757829103,0.26272363669645477,-1.8102275903419998,0.43790850872823517,50
IUP_Eurasia_45ka,WestSiberia_Bronze,D_VA,-0.00827362644211456,0.005281846031411987,-1.566427039506637,0.009379928610945835,50
IUP_Eurasia_45ka,WestSiberia_Bronze,R,-0.5239328055130652,0.1938685491460732,-2.7025157397670525,0.41385876869062155,50
IUP_Eurasia_45ka,WestSiberia_Iron_Classical,D_VA,-0.008617451303367524,0.005238697945295095,-1.6449605213652194,0.009428988014057517,50
IUP_Eurasia_45ka,WestSiberia_Iron_Classical,R,-0.5998262701404282,0.1985773499022908,-3.0206177614696252,0.4160877795328607,50
IUP_Eurasia_45ka,WestSiberia_LateGlacial_Meso,D_VA,-0.010275404126003668,0.006832484179696322,-1.5039045617607811,0.01012186657176898,50
IUP_Eurasia_45ka,WestSiberia_LateGlacial_Meso,R,-0.40831442334464074,0.21548155103786426,-1.8948927245882503,0.41543827737042965,50
IUP_Eurasia_45ka,WestSiberia_Medieval_Recent,D_VA,-0.009045165320301543,0.005214196815526163,-1.7347188148648351,0.009368177946612518,50
