scenario,alpha_tract,alpha_genomewide,denom_normal,denom_tract,denom_inflation,naive_gain,realised_gain
heterozygous tract,0.5,0.0221288254021447,4933.631284213281,6135.793303095679,1.2436667739498688,22.594963397900937,18.1680204626997
phased Nea haplotype,1.0,0.0221288254021447,4933.631284213281,7337.955321978079,1.4873335478997378,45.189926795801874,30.38318261536864
