level,a,b,diff,se,z,f50_analytic
region,WestEurasia,EastAsia,-0.0016938322016629218,0.003582377948302539,-0.4728234223487003,0.11395766495479706
region,WestEurasia,SouthAsia,-0.0008592197883719455,0.0030078092692169428,-0.28566298972661786,0.09568027882478757
region,EastAsia,CentralAsiaSiberia,-0.0007469075389754803,0.00195338632422371,-0.3823655002152771,0.06213843080645516
region,WestEurasia,CentralAsiaSiberia,-0.002440739740638402,0.003317917334255601,-0.7356240360298186,0.10554500875709436
pop,French,Han,-0.007147966573510349,0.006003075793504543,-1.1907173621303602,0.19096156515216187
pop,Sardinian,Japanese,-0.00099164320930413,0.006247064746311225,-0.15873746304449252,0.19872300510569618
pop,English,Dai,0.010860562192135478,0.007240874854632479,1.4998964089521918,0.23033672118677778
pop,French,Sardinian,-0.003506398893472505,0.006656068593275576,-0.5267972894712825,0.2117336712135734
