target,model,date_bp,n,n_snp,p,WHG_pct,WHG_se,EHG_pct,EHG_se,CHG_pct,CHG_se,Anatolia_N_pct,Anatolia_N_se,Iran_N_pct,Iran_N_se,Steppe_Yamnaya_pct,Steppe_Yamnaya_se
Balkans_N,deep5,7617.0,26,475899,0.5667199165193999,0.0,1.0197800331652098,0.9754694061050596,1.348997463454002,1.431740170202146,0.5509598393172664,96.65625384431189,0.6063821495040954,0.9365365793809153,0.8785341157309908,,
CentralEuro_EN,west3,7100.0,49,475899,0.00022417069247857068,3.8368118026843567,0.630734946853593,,,,,94.00732515180385,1.3347231762811955,,,2.1558630455117864,0.7077220318826692
CordedWare,west3,4456.5,49,475899,0.0010177681653244471,6.3086459715172944,0.45371269183402907,,,,,20.82618593240926,0.9909231817026338,,,72.86516809607345,0.5407876048098836
BellBeaker,west3,4200.0,48,475899,3.940068535741256e-09,9.797834292876148,0.3942971965639388,,,,,34.187623152821644,0.8334814839326086,,,56.0145425543022,0.4435439065628513
CentralEuro_BA,deep4,3912.0,47,475893,1.6370052673671649e-12,5.947281216605638,0.27036955083725633,29.875745531081115,0.6772835049296171,10.607450131682683,0.3855773424604637,53.569523120630556,0.5652548540164527,,,,
Steppe_MLBA,west3,3825.0,48,475868,8.21421608080082e-18,4.452752575534282,0.5511516240679016,,,,,9.669235917609276,1.1520876466682857,,,85.87801150685644,0.6098540624571965
Italy_BA,west3,3835.0,42,475899,3.5091423738505e-06,8.669495872680804,0.761207978782942,,,,,81.88488388889677,1.617741014930836,,,9.445620238422425,0.8665418595375904
Etruscan,west4,2350.0,48,475899,8.00666891791547e-09,5.492766904587923,0.5656084512768979,,,,,62.81134824108141,0.9686404389663582,4.225026692283824,0.2965364341353297,27.470858162046834,0.6297855635742927
ImperialRoman,west4,1750.0,50,475899,4.726405692478709e-15,0.4292010485574642,0.7665145646477917,,,,,53.931614936333474,1.332483165996951,19.354187337359154,0.3535207926304225,26.284996677749916,0.8224820198237731
French,west4,0.0,28,475893,3.112204267238534e-13,9.036277493010846,0.6680590144812945,,,,,39.59514901952893,1.337640393409994,9.996392221535624,0.28682986788574294,41.372181265924596,0.7875376569635195
English,west4,0.0,10,475868,0.0006516808648959796,11.53939405512102,1.0447665032770697,,,,,33.55073523405865,1.874229758905314,7.282577945579215,0.5072527162453935,47.62729276524112,1.0908963484715906
Sardinian,west4,0.0,28,475897,5.942918477787746e-13,8.71812506345891,0.8383874768952819,,,,,68.70051757452146,1.1532958635161425,15.252253885350333,1.353304305911037,7.329103476669302,1.0009531674078025
Spanish,deep5,0.0,49,475814,5.253931669951025e-07,1.8413130954518908,1.9355088280293284,14.477186897742026,0.6659350039879636,6.282743385522882,0.764682354603887,53.177339294990745,0.7132369275274008,24.221417326292464,1.032471072571624,,
Italian_North,west4,0.0,20,475899,3.940197463415841e-17,3.8095410701568198,0.8189187418418977,,,,,51.97013471344323,1.3034506739135416,14.95368615928795,1.1164023443249549,29.266638057111997,1.1194118981174046
Basque,west4,0.0,23,475886,2.8651395012754332e-09,12.444928972476157,1.044499531075953,,,,,46.97135170189388,1.7287478014083333,6.606356503809891,1.4490056682891705,33.977362821820066,1.2044584231481397
Russian,hg3,0.0,25,475897,2.0804633855581304e-81,28.777677260976287,1.516651484567445,29.308139441460206,1.813496783797551,41.914183297563504,1.935167027994738,,,,,,
Orcadian,west4,0.0,15,475891,2.2576021305348387e-07,8.302030714194876,1.0147018181721634,,,,,31.239571139064772,1.7981350006175345,5.435531326331761,0.42664017566893503,55.02286682040859,1.052868951203368
Finnish,west4,0.0,8,475873,2.9029280363404385e-42,13.063502521501814,1.2059715431275728,,,,,11.666216493753845,2.4925730589459105,8.956280489200221,1.6917007720556032,66.31400049554412,1.2268041035624582
