target,model,fit,date_bp,n,n_snp,p,feasible,WHG_pct,WHG_se,EHG_pct,EHG_se,CHG_pct,CHG_se,Anatolia_N_pct,Anatolia_N_se,Iran_N_pct,Iran_N_se,Steppe_Yamnaya_pct,Steppe_Yamnaya_se
Balkans_N,deep5,free,7617.0,26,475899,0.7622374514838222,False,2.329509705062238,6.216507092269447,1.8743661790258925,2.4099210745043416,-16.431374438988456,34.587892571387094,99.89194903722397,6.119900809118427,12.335549517676359,22.044264400360472,,
Balkans_N,deep5,constrained,7617.0,26,475899,0.5667199165193999,True,0.0,1.0197800331652098,0.9754694061050596,1.348997463454002,1.431740170202146,0.5509598393172664,96.65625384431189,0.6063821495040954,0.9365365793809153,0.8785341157309908,,
Balkans_N,deep4,free,7617.0,26,475899,0.7354425475657537,False,-1.4828181935276241,2.511396385871084,1.3721709709670327,1.8783595787291607,3.6175052832871812,2.2999434585638183,96.49314193927341,2.209995289853086,,,,
Balkans_N,deep4,constrained,7617.0,26,475899,0.6011698221378826,True,0.0,2.4526633361258483e-14,0.6204486159376019,1.4193323026783367,3.828350094032152,0.6299294979124037,95.55120129003025,0.8116478630918698,,,,
Balkans_N,west3,free,7617.0,26,475898,0.41206891018657194,False,-2.323500131753625,1.6599148858356334,,,,,97.48111727756864,2.1644223428958416,,,4.842382854184979,2.1412687536722346
Balkans_N,west3,constrained,7617.0,26,475898,0.43071582619060444,True,0.0,1.5370501194053903e-19,,,,,97.02367410460498,1.8428920394749864,,,2.9763258953950316,1.842892039474987
Balkans_N,west4,free,7617.0,26,475898,0.2692893096158532,False,-1.0586549260992892,2.1599641295487344,,,,,96.68553598313655,1.6629494271825838,0.7685612748852929,2.0854437861784443,3.6045576680774483,2.8903471642528356
Balkans_N,west4,constrained,7617.0,26,475898,0.34302942206774456,True,7.347221870836763e-21,0.334616579553485,,,,,96.50133186827307,1.6190402082969342,0.7911319174584405,1.1393378041679678,2.7075362142684933,1.8548114847337724
Balkans_N,hg3,free,7617.0,26,475899,6.414594342747987e-105,False,66.56352249886064,4.0766446185436855,-34.96965276690738,3.2167272870128563,68.40613026804675,3.732366758447055,,,,,,
Balkans_N,hg3,constrained,7617.0,26,475899,3.35313625166066e-143,True,26.489487719028915,3.632953338710098,0.0,5.635689887098737e-18,73.51051228097108,3.6329533387100987,,,,,,
