label,date_bp,n_ind,alpha,alpha_se,alpha_z,alpha_nsnp,D_Den,D_Den_se,D_Den_z,D_Den_nsnp,D_Nea,D_Nea_se,D_Nea_z,D_Nea_nsnp
Vanuatu 2950-2820 BP,2885.0,5,0.017754339375715026,0.005520855940378651,3.2158671712229707,218949,-0.0073213559012034355,0.00756642005197538,-0.9676116116884147,255053,0.012311480112629234,0.005464088602339975,2.2531626056277507,472228
Vanuatu 2570-2040 BP,2375.0,6,0.016607624322552177,0.005777663790787024,2.874453226065948,218949,0.018427161466330878,0.006556192156733722,2.8106499971030807,255053,0.016919428414673848,0.005186719883706881,3.2620671241227224,472228
Vanuatu 1310-1160 BP,1223.5,6,0.019870990763067458,0.0046381167854028914,4.28427995293382,218949,0.021361492618991097,0.0065924427055942805,3.2403000788863814,255053,0.021776476352356324,0.004636368730667419,4.696881895591065,472228
Vanuatu 480-135 BP,202.0,14,0.022529028095147802,0.004658697908404924,4.835906628438469,218949,0.02240692169298811,0.006138697648733054,3.650110002992671,255053,0.021640505985575854,0.004247166147956586,5.095281237346371,472228
