genetic_id,group_id,date_bp,coverage,locality,alpha_Nea,alpha_SE,alpha_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
I24265.AG,Guam_Latte,447.0,4.43014186,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.022188,0.00531,312291,-0.006065,0.006013,-1.009,383847
I24256.AG,Guam_Latte,425.0,,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.025621,0.008238,117730,-0.005294,0.008151,-0.65,142384
I10968.AG,Vanuatu_400BP,400.0,2.28310791,Retoka (Shefa Province),0.024805,0.006173,369468,0.016895,0.006885,2.454,432367
I25082.AG,Guam_Latte,400.0,6.45925438,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.015827,0.005601,368749,-0.002811,0.006666,-0.422,444876
I10969.AG,Vanuatu_400BP,400.0,3.31559334,Retoka (Shefa Province),0.018755,0.005438,328988,0.013199,0.007263,1.817,394076
I10966.AG,Vanuatu_400BP-o,400.0,1.49710205,Mangaasi (Efate),0.0232,0.005744,285664,0.018815,0.006896,2.728,343611
I14493.AG,Vanuatu_400BP,387.0,0.64761059,Retoka (Shefa Province),0.019339,0.006253,225970,0.024515,0.008075,3.036,263926
I24610.AG,Guam_Latte,383.0,6.88416871,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.016045,0.00516,363580,-0.011509,0.006019,-1.912,438240
I24251.AG,Guam_Latte,365.0,12.5809233,"Naton Beach Site (Guam, Tamuning-Tumon-Harmon Municipality, Tamuning)",0.018951,0.005847,392821,-0.002004,0.006574,-0.305,470432
I4450.AG,Vanuatu_150BP,215.0,4.6549048,Pangpang (Efate),0.022434,0.0054,350825,0.024014,0.007966,3.014,417692
TAN001.AG,Vanuatu_200BP,202.0,1.22803242,Tanna (Tafea Province),0.02431,0.007372,281963,0.027648,0.008239,3.356,334541
EFE005.AG,Vanuatu_200BP,202.0,0.0734418,Banana Bay (Efate),0.039292,0.015437,28033,0.024086,0.017892,1.346,33304
I10967.AG,Vanuatu_200BP-oPolynesian,156.0,0.74934971,Mangaasi (Efate),0.027368,0.007632,206492,0.028547,0.007826,3.648,253943
I4105.AG,Vanuatu_150BP,150.0,8.09172382,Wam Bay (Epi Island),0.03397,0.006248,436085,0.030514,0.007109,4.292,503023
I4419.AG,Vanuatu_150BP,140.0,4.19043592,Banana Bay (Efate),0.028012,0.005455,322070,0.030578,0.007444,4.108,387872
I4424.AG,Vanuatu_150BP,140.0,3.77339809,Pango Village (Efate),0.021964,0.005407,330041,0.014139,0.006418,2.203,395622
I4106.AG,Vanuatu_150BP,140.0,13.0718253,Wam Bay (Epi Island),0.029259,0.005078,441321,0.025267,0.006717,3.762,510786
I4425.AG,Vanuatu_150BP,135.0,2.28356505,Ifira (Efate),0.02753,0.006091,300111,0.020689,0.007914,2.614,357984
