label,date_bp,n_ind,alpha,alpha_se,alpha_z,alpha_nsnp,D_Den,D_Den_se,D_Den_z,D_Den_nsnp,D_Nea,D_Nea_se,D_Nea_z,D_Nea_nsnp
Vanuatu 2950-2820 BP,2885.0,5,0.018574294043137925,0.00859896532409384,2.160061512411702,59940,0.009656428988860065,0.01552921827076652,0.6218232508868861,48741,0.026375949278943846,0.009285430139002728,2.8405737681611236,93555
Vanuatu 2570-2040 BP,2375.0,6,0.03297658373082,0.008837372104866542,3.731492047580585,59940,0.036235513942554504,0.013658903601159206,2.652885985627665,48741,0.04101760110140911,0.0093526415575995,4.3856701712341595,93555
Vanuatu 1310-1160 BP,1223.5,6,0.035575062808131296,0.008053738345684463,4.417211148558598,59940,0.03307918930566521,0.013099204769376972,2.525282250949844,48741,0.04581340475461797,0.008406418931011888,5.449812236410084,93555
Vanuatu 480-135 BP,202.0,14,0.036287704217471364,0.008952999318206251,4.053133807759707,59940,0.04460367373259924,0.01302719200790172,3.4238900989211354,48741,0.05104479795760851,0.009543394971652512,5.348704324743013,93555
