series,statistic,slope_per_kyr,se_per_kyr,z,contrast,contrast_se,contrast_z,first,last
Vanuatu,alpha,-0.00822824166611519,0.0035844755986717066,-2.2955217407992166,0.027928525138267345,0.010907822421286378,2.560412524113469,Vanuatu 2950-2820 BP,Vanuatu 480-135 BP
Vanuatu,D_Den,-0.005621910273227554,0.005025957364641289,-1.1185750028002477,0.03190192846356431,0.016983178174592713,1.8784427823580419,Vanuatu 2950-2820 BP,Vanuatu 480-135 BP
Guam,alpha,,,,-0.0014886871187816744,0.011031503754014842,-0.1349487025501738,Guam 2700-2600 BP,Guam 600-500 BP
Guam,D_Den,,,,-0.007926696860199457,0.014014190958228558,-0.5656192985971285,Guam 2700-2600 BP,Guam 600-500 BP
Vanuatu (coverage-matched),alpha,-0.005589952307961213,0.00421501177748597,-1.326200875124321,0.01771341017433344,0.012413637719732676,1.426931458308652,Vanuatu 2950-2820 BP,Vanuatu 480-135 BP
Vanuatu (coverage-matched),D_Den,-0.009263065238930267,0.006686543322733222,-1.3853294283516067,0.03494724474373918,0.020269789138317326,1.7241049971100135,Vanuatu 2950-2820 BP,Vanuatu 480-135 BP
Vanuatu minus Guam (diff-in-diff),alpha,,,,0.02941721225704902,0.015513692824378127,1.8962095350259212,,
Vanuatu minus Guam (diff-in-diff),D_Den,,,,0.039828625323763765,0.022018762206892042,1.8088494234838095,,
