density,n_snp,n_pairs_short_distance,true_generations,recovered_generations,generations_se,n_jackknife,r_squared,n_fit_bins
whole_genome,196723,963008198,60,64.66522382438798,538.4448451145624,9,0.25115152626745163,50
1240k,7869,1540528,60,4999.999999999196,6641.650343222854,9,0.026852906258775122,50
whole_genome,195074,944397057,60,358.75171706407946,156.84188148899406,9,0.03882754774854513,50
1240k,7803,1510779,60,378.82196228627805,157.86995748046314,9,0.03953179846380461,50
whole_genome,194736,947032798,60,2042.91133258757,2833.2966983697033,9,0.11537241593306946,50
1240k,7789,1514906,60,4999.999999929061,3209.7737090343767,9,0.008850205821815615,50
