target,model,sources,outgroups,n_snp,chi2,dof,p,status
Eurasia_Bronze_Age,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,1342.8758328188787,3,4.8050890042149506e-135,rejected
Eurasia_Bronze_Age,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,763.0901191654993,6,2.229843200453072e-99,rejected
Eurasia_Iron_Age,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,2010.2948740855552,8,2.1497749490673804e-225,rejected
Eurasia_Iron_Age,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,2681.1985216628186,6,1.817668531956531e-264,rejected
Eurasia_Iron_Age,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,1052.0425561621785,5,2.886312316899418e-124,rejected
Eurasia_Iron_Age,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,2095.9014276600715,3,9.591932749315316e-188,rejected
Eurasia_Iron_Age,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,686.1522239231113,6,3.410302015928545e-91,rejected
Eurasia_Historic,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,1756.068960739582,8,9.118390377142462e-203,rejected
Eurasia_Historic,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,1968.066062226119,6,4.939459887205631e-209,rejected
Eurasia_Historic,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,1228.1222661545526,5,3.888969203197044e-140,rejected
