"target","full_model","pattern","dropped","dof","chi2","p","feasible"
"ImperialRoman","Anatolia_N+Yamnaya+WHG","010","010",5,115.794382148335,2.43849439400691e-23,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","100","100",5,75.8170429074634,6.28168115714954e-15,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","011","011",6,1068.79394683341,1.17670240838896e-227,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","101","101",6,2716.15521711718,0,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG","110","110",6,268.285175108583,5.04885246387408e-55,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0000","0000",3,22.5690589945852,4.96580355970856e-05,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0001","0001",4,76.8283085298366,8.17705629801964e-16,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0010","0010",4,40.4524896393965,3.4892063500143e-08,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0100","0100",4,93.2306740643538,2.70996210285714e-19,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","1000","1000",4,65.2315198854955,2.29984394145423e-13,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0011","0011",5,290.738660280483,9.80502250706573e-61,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0101","0101",5,118.707075955851,5.89587603859515e-24,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0110","0110",5,108.883093384064,7.05514856771862e-22,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","1001","1001",5,78.2898598130064,1.91197865743509e-15,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","1010","1010",5,172.529265475477,2.10566133501697e-35,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","1100","1100",5,132.998788082504,5.49577951155389e-27,FALSE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","0111","0111",6,1078.76485482122,8.19524737295774e-230,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","1011","1011",6,3020.2082918063,0,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","1101","1101",6,275.763401966189,1.26771223395991e-56,TRUE
"ImperialRoman","Anatolia_N+Yamnaya+WHG+Iran_N","1110","1110",6,196.236340669896,1.19988827640684e-39,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG","000","(full)",4,40.3369644473422,3.68662685366132e-08,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG","001","001",5,54.6052545870626,1.57370946202262e-10,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG","010","010",5,43.4551524044151,2.98770627666194e-08,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG","100","100",5,74.4516315740816,1.21071820718308e-14,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG","011","011",6,264.20759767728,3.76204983418648e-54,TRUE
