genetic_id	excluded_chromosome	generations
ZKU002.SG	2	4999.9999999998745
ZKU002.SG	3	3.3449274718037634
ZKU002.SG	4	388.49111862040843
ZKU002.SG	5	108.44038942670065
ZKU002.SG	6	4999.999999999032
ZKU002.SG	7	54.49804260176172
ZKU002.SG	8	15.134276966085014
ZKU002.SG	10	105.87180254377108
ZKU002.SG	11	99.73888914251566
ZKU002.SG	13	1.0000000729657603
ZKU002.SG	14	3.3537941551007266
ZKU002.SG	15	4.475137177416051
ZKU002.SG	16	4999.9999999705105
ZKU002.SG	17	4.468830382947036
ZKU002.SG	18	34.332443921409705
ZKU002.SG	19	1.0000010558029528
ZKU002.SG	20	1.0000000816511905
ZKU002.SG	21	4999.999999998091
ZKU002.SG	22	4999.999999993238
