genetic_id	distance_cm	covariance	n_pairs	fitted_covariance
ZKU002.SG	0.025	0.11057692307692307	65	0.09099523660127626
ZKU002.SG	0.035	-0.010084033613445379	35	0.09099523660127626
ZKU002.SG	0.045	0.0	34	0.09099523660127626
ZKU002.SG	0.05500000000000001	0.0	49	0.09099523660127624
ZKU002.SG	0.065	0.12903225806451613	31	0.09099523660127624
ZKU002.SG	0.075	0.08536585365853658	41	0.09099523660127624
ZKU002.SG	0.085	-0.006722689075630252	35	0.09099523660127623
ZKU002.SG	0.095	0.11954022988505747	30	0.09099523660127623
ZKU002.SG	0.10500000000000001	0.0	33	0.09099523660127623
ZKU002.SG	0.115	0.24421831637372804	47	0.09099523660127622
ZKU002.SG	0.125	0.11034482758620691	30	0.09099523660127622
ZKU002.SG	0.135	-0.014492753623188404	24	0.0909952366012762
ZKU002.SG	0.145	0.126984126984127	28	0.0909952366012762
ZKU002.SG	0.155	0.0	24	0.0909952366012762
ZKU002.SG	0.16499999999999998	-0.008658008658008658	22	0.09099523660127619
ZKU002.SG	0.175	0.0	24	0.09099523660127619
ZKU002.SG	0.185	0.3619047619047619	21	0.09099523660127619
ZKU002.SG	0.195	0.13675213675213674	27	0.09099523660127617
ZKU002.SG	0.205	-0.03463203463203463	22	0.09099523660127617
ZKU002.SG	0.215	0.29059829059829057	27	0.09099523660127617
ZKU002.SG	0.225	0.18618618618618618	37	0.09099523660127616
ZKU002.SG	0.235	0.14736842105263157	20	0.09099523660127616
ZKU002.SG	0.245	0.2733333333333334	25	0.09099523660127616
ZKU002.SG	0.255	0.18181818181818182	22	0.09099523660127615
ZKU002.SG	0.265	0.3368421052631579	20	0.09099523660127615
ZKU002.SG	0.275	0.0	10	0.09099523660127615
ZKU002.SG	0.28500000000000003	0.12307692307692307	26	0.09099523660127613
ZKU002.SG	0.29500000000000004	0.0	13	0.09099523660127613
ZKU002.SG	0.30500000000000005	0.25	16	0.09099523660127613
ZKU002.SG	0.315	0.18947368421052632	20	0.09099523660127612
ZKU002.SG	0.325	0.5098039215686274	18	0.09099523660127612
ZKU002.SG	0.335	0.2463054187192118	29	0.09099523660127612
ZKU002.SG	0.34500000000000003	-0.008658008658008658	22	0.0909952366012761
ZKU002.SG	0.35500000000000004	0.23333333333333334	16	0.0909952366012761
ZKU002.SG	0.36500000000000005	0.0	31	0.0909952366012761
ZKU002.SG	0.375	0.15019762845849802	23	0.09099523660127609
ZKU002.SG	0.385	0.0	24	0.09099523660127609
ZKU002.SG	0.395	-0.031578947368421054	20	0.09099523660127609
ZKU002.SG	0.405	0.0	17	0.09099523660127608
ZKU002.SG	0.41500000000000004	0.07954545454545454	33	0.09099523660127608
ZKU002.SG	0.42500000000000004	-0.021052631578947368	20	0.09099523660127608
ZKU002.SG	0.43500000000000005	0.0	22	0.09099523660127606
ZKU002.SG	0.445	0.0	22	0.09099523660127606
ZKU002.SG	0.455	0.0	23	0.09099523660127606
ZKU002.SG	0.465	0.0	22	0.09099523660127605
ZKU002.SG	0.47500000000000003	0.11076923076923077	26	0.09099523660127605
ZKU002.SG	0.48500000000000004	0.2826086956521739	24	0.09099523660127605
ZKU002.SG	0.49500000000000005	-0.02898550724637681	24	0.09099523660127604
ZKU002.SG	0.505	0.0	22	0.09099523660127604
ZKU002.SG	0.515	0.0	23	0.09099523660127604
ZKU002.SG	0.525	-0.026890756302521007	35	0.09099523660127604
ZKU002.SG	0.535	0.13043478260869565	24	0.09099523660127602
ZKU002.SG	0.545	0.0	22	0.09099523660127602
ZKU002.SG	0.555	0.0	18	0.09099523660127602
ZKU002.SG	0.5650000000000001	0.2857142857142857	14	0.09099523660127601
ZKU002.SG	0.5750000000000001	0.0	25	0.09099523660127601
ZKU002.SG	0.5850000000000001	0.08695652173913043	23	0.09099523660127601
ZKU002.SG	0.5950000000000001	0.34838709677419355	31	0.090995236601276
ZKU002.SG	0.605	0.26373626373626374	14	0.090995236601276
ZKU002.SG	0.615	0.1774193548387097	32	0.090995236601276
ZKU002.SG	0.625	0.0	19	0.09099523660127598
ZKU002.SG	0.635	0.23529411764705882	17	0.09099523660127598
ZKU002.SG	0.645	-0.0303030303030303	12	0.09099523660127598
ZKU002.SG	0.655	-0.007246376811594202	24	0.09099523660127598
ZKU002.SG	0.665	0.23529411764705882	17	0.09099523660127597
ZKU002.SG	0.675	0.17543859649122806	19	0.09099523660127597
ZKU002.SG	0.685	-0.05714285714285714	21	0.09099523660127597
ZKU002.SG	0.6950000000000001	-0.04	25	0.09099523660127595
ZKU002.SG	0.7050000000000001	0.0	24	0.09099523660127595
ZKU002.SG	0.7150000000000001	0.0	19	0.09099523660127595
ZKU002.SG	0.725	0.0	19	0.09099523660127595
ZKU002.SG	0.735	-0.058823529411764705	17	0.09099523660127594
ZKU002.SG	0.745	0.4	10	0.09099523660127594
ZKU002.SG	0.755	0.0	21	0.09099523660127594
ZKU002.SG	0.765	-0.0130718954248366	18	0.09099523660127593
ZKU002.SG	0.775	0.0	15	0.09099523660127593
ZKU002.SG	0.785	0.0	15	0.09099523660127593
ZKU002.SG	0.795	0.26373626373626374	14	0.09099523660127593
ZKU002.SG	0.805	0.16842105263157894	20	0.09099523660127591
ZKU002.SG	0.8150000000000001	0.0	20	0.09099523660127591
ZKU002.SG	0.8250000000000001	0.43333333333333335	16	0.09099523660127591
ZKU002.SG	0.8350000000000001	0.0	20	0.0909952366012759
ZKU002.SG	0.8450000000000001	-0.019047619047619046	21	0.0909952366012759
ZKU002.SG	0.855	0.33918128654970764	19	0.0909952366012759
ZKU002.SG	0.865	0.18095238095238095	21	0.0909952366012759
ZKU002.SG	0.875	-0.014705882352941176	17	0.09099523660127588
ZKU002.SG	0.885	-0.07619047619047618	21	0.09099523660127588
ZKU002.SG	0.895	-0.025641025641025644	13	0.09099523660127588
ZKU002.SG	0.905	0.0	18	0.09099523660127588
ZKU002.SG	0.915	0.23931623931623933	27	0.09099523660127587
ZKU002.SG	0.925	0.07843137254901962	18	0.09099523660127587
ZKU002.SG	0.935	0.0	17	0.09099523660127587
ZKU002.SG	0.9450000000000001	0.0	16	0.09099523660127586
ZKU002.SG	0.9550000000000001	-0.02857142857142857	21	0.09099523660127586
ZKU002.SG	0.9650000000000001	0.0	17	0.09099523660127586
ZKU002.SG	0.9750000000000001	0.33201581027667987	23	0.09099523660127586
ZKU002.SG	0.985	-0.029411764705882353	17	0.09099523660127584
ZKU002.SG	0.995	0.0	13	0.09099523660127584
ZKU002.SG	1.005	0.19607843137254902	18	0.09099523660127584
ZKU002.SG	1.015	0.14245014245014245	27	0.09099523660127584
ZKU002.SG	1.0250000000000001	0.1106719367588933	23	0.09099523660127583
ZKU002.SG	1.0350000000000001	0.0	22	0.09099523660127583
ZKU002.SG	1.045	-0.03809523809523809	21	0.09099523660127583
ZKU002.SG	1.055	-0.04411764705882353	17	0.09099523660127583
ZKU002.SG	1.065	0.36764705882352944	17	0.09099523660127581
ZKU002.SG	1.075	-0.13186813186813187	14	0.09099523660127581
ZKU002.SG	1.085	0.0	10	0.09099523660127581
ZKU002.SG	1.095	0.1046153846153846	26	0.09099523660127581
ZKU002.SG	1.105	0.0	8	0.0909952366012758
ZKU002.SG	1.115	-0.031578947368421054	20	0.0909952366012758
ZKU002.SG	1.125	0.0	17	0.0909952366012758
ZKU002.SG	1.135	0.32727272727272727	11	0.0909952366012758
ZKU002.SG	1.145	-0.029411764705882353	17	0.09099523660127579
ZKU002.SG	1.155	0.2857142857142857	14	0.09099523660127579
ZKU002.SG	1.165	-0.021052631578947368	20	0.09099523660127579
