genetic_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Loschbour.AG,5.703161239624023,-13.193915367126465,-23.712051391601562,-4.744504451751709,-6.437257289886475,-5.46693229675293,-7.566654682159424,1.5885274410247803,-3.6836166381835938,0.547133207321167
Kou01.SG,16.476299285888672,20.942209243774414,7.221807479858398,-0.20492197573184967,1.0464847087860107,1.5248782634735107,0.7068048715591431,9.477702140808105,8.992569923400879,3.0320661067962646
Kou03.SG,16.551239013671875,21.394941329956055,8.141974449157715,-1.0910193920135498,-0.5847127437591553,2.551003932952881,2.0422797203063965,10.717761993408203,11.201586723327637,1.3131284713745117
Log02.SG,16.935415267944336,9.535055160522461,5.211898326873779,0.9643549919128418,2.2634689807891846,-0.42150163650512695,0.8142030239105225,4.035768508911133,4.701199054718018,1.2916499376296997
Log04.SG,12.402881622314453,1.2035889625549316,6.023216247558594,-0.8792242407798767,-0.42369040846824646,8.499651908874512,4.264421463012695,3.139832019805908,3.5205564498901367,3.3461720943450928
Mik15.SG,20.51163101196289,23.627683639526367,2.024796485900879,-0.1919822245836258,4.3976664543151855,5.159557819366455,4.099139213562012,13.481366157531738,9.348010063171387,6.458323001861572
Pta08.SG,19.324237823486328,26.555442810058594,7.08754825592041,0.33158010244369507,2.9356777667999268,4.178327560424805,2.7396719455718994,6.5040283203125,9.611140251159668,0.3067861795425415
cay004.SG,1.275412678718567,1.6779497861862183,0.9900498986244202,-0.6015074253082275,-0.6881920695304871,-0.0652487650513649,0.057376679033041,0.05715356394648552,0.4439651370048523,0.5365207195281982
cay008.SG,1.5333983898162842,1.668415904045105,1.750487208366394,-0.2525671720504761,-1.5278241634368896,-0.44470444321632385,-0.8180433511734009,0.5646228194236755,0.6339768767356873,-0.8178621530532837
cay013.SG,2.5780539512634277,3.468789577484131,2.109464406967163,-0.577876627445221,-0.4956963360309601,-0.7529904246330261,-0.2525271475315094,0.9594694972038269,1.2980064153671265,-0.4146498143672943
cay016.SG,0.6331965327262878,0.9767601490020752,-0.2426997423171997,-0.036190107464790344,0.11873353272676468,-0.2113036960363388,0.09657742828130722,0.2955401539802551,0.05803997814655304,0.10931532829999924
cay033.SG,0.12822654843330383,0.3217310905456543,0.2565487027168274,0.046136267483234406,0.28485965728759766,-0.20104318857192993,-0.4245569407939911,0.349315345287323,0.16112269461154938,0.07389286905527115
AV1.AG,9.806061744689941,-4.657887935638428,0.6421364545822144,0.7151461839675903,-1.021585464477539,0.689593493938446,-1.675884485244751,-5.623382568359375,-2.2561347484588623,-0.9123486876487732
AV2.AG,8.086085319519043,-5.955442905426025,-1.1730784177780151,1.2713388204574585,-0.6775157451629639,3.0334784984588623,-2.023879051208496,-5.781099319458008,-3.330676317214966,-0.4443865418434143
CL102.AG,6.5912370681762695,-0.5248868465423584,0.10705000162124634,0.3636847734451294,-1.6365985870361328,1.0784183740615845,1.319079041481018,-0.48828476667404175,-0.8665085434913635,0.8423709869384766
CL121.AG,10.860218048095703,9.922730445861816,6.039283275604248,0.03566690534353256,-2.520272731781006,-3.501326560974121,-1.6480375528335571,-0.6616525053977966,-1.215819001197815,-1.489301085472107
CL145.AG,11.024215698242188,-6.762722492218018,2.7241363525390625,1.4147454500198364,-4.093576431274414,3.9183237552642822,-0.9818000793457031,-4.751641273498535,-5.013100624084473,-0.8158010244369507
CL146.AG,12.812872886657715,-4.006202220916748,3.7914609909057617,0.5361842513084412,-3.3881235122680664,4.642977237701416,0.6175796389579773,-3.170311212539673,-4.812448978424072,-2.5195865631103516
CL151.AG,9.082366943359375,-6.210501670837402,2.8634188175201416,-1.1087491512298584,-2.745614528656006,3.372947931289673,2.4531335830688477,-5.372522354125977,-4.116184711456299,-0.46132415533065796
CL23.AG,13.185739517211914,4.277594566345215,3.0843605995178223,0.13677191734313965,-2.176814079284668,-4.143841743469238,-2.468179702758789,-2.9485793113708496,-1.5294666290283203,1.0580341815948486
CL25.AG,10.216938972473145,8.055097579956055,6.175145626068115,0.3045750558376312,1.2339504957199097,-4.004883766174316,-2.3158082962036133,-0.8857112526893616,-0.26349687576293945,0.5375280976295471
CL30.AG,10.308890342712402,10.087882041931152,7.659290313720703,0.12552541494369507,-2.1019811630249023,-3.6365349292755127,-4.364704132080078,0.8126523494720459,0.46733665466308594,-0.5222147703170776
CL36.AG,10.27114486694336,3.9344701766967773,3.6699047088623047,0.3774721026420593,-1.418347954750061,-0.9904326796531677,-1.2112101316452026,-2.5943284034729004,-2.0483195781707764,-0.6569966673851013
CL38.AG,8.48001480102539,12.3218412399292,7.761689186096191,0.19603794813156128,-3.772678852081299,-5.078525066375732,-2.9254953861236572,0.30356988310813904,-0.42527827620506287,0.6389617919921875
CL47.AG,10.93305778503418,0.7391377687454224,-0.39622485637664795,-0.8244624733924866,0.04733889549970627,3.9099090099334717,0.3924156129360199,-4.801507949829102,-2.976734161376953,0.455870658159256
CL49.AG,3.3881173133850098,0.4586063623428345,-1.1366814374923706,0.03272869810461998,0.2612740695476532,2.4568450450897217,0.3757142424583435,0.5095157027244568,0.5718559622764587,-1.1464556455612183
CL53.AG,5.462870121002197,-0.5118305087089539,1.7654271125793457,0.2858498692512512,0.41297411918640137,0.5969698429107666,-0.8366119265556335,-0.5091308355331421,0.000897875230293721,-0.6007710099220276
CL57.AG,11.098899841308594,2.2379744052886963,1.2073428630828857,0.37068718671798706,-2.020836591720581,-1.5681108236312866,-0.4431232511997223,-3.812764883041382,-3.3596534729003906,-1.1901382207870483
CL63.AG,11.487771034240723,-3.457404375076294,1.1601747274398804,0.04986219108104706,-2.906079053878784,-0.39207762479782104,2.089003562927246,-3.679858446121216,-4.502586364746094,0.17697091400623322
CL83.AG,8.202290534973145,-4.859979152679443,-0.2349325269460678,0.8253523707389832,-2.3596928119659424,4.2503342628479,1.9314260482788086,-4.411373615264893,-1.4875515699386597,-1.361640214920044
CL84.AG,9.19211483001709,-6.192879676818848,-1.1920040845870972,0.04029392823576927,-4.2152252197265625,4.487462997436523,-1.1518768072128296,-4.207338333129883,-3.0988690853118896,-1.5294194221496582
CL87.AG,13.278243064880371,-2.567012071609497,1.9009798765182495,0.4381164014339447,-1.280404806137085,0.9039185643196106,0.9265003204345703,-3.751512289047241,-3.9229543209075928,-1.725492238998413
CL92.AG,10.645748138427734,-3.0491414070129395,-1.0967907905578613,1.252489686012268,-2.142749071121216,2.446746349334717,-2.3312554359436035,-2.3613874912261963,-1.6825352907180786,-1.7728315591812134
CL93.AG,9.48703384399414,-4.836841583251953,0.424189954996109,0.8799586296081543,-1.1810063123703003,1.1188249588012695,-0.8878313899040222,-4.125998020172119,-3.671616554260254,-1.9937150478363037
CL94.AG,12.38616943359375,1.2614214420318604,2.670677661895752,1.370061993598938,-0.9156142473220825,-0.457597017288208,-0.8798326253890991,-0.4114982783794403,-1.9638891220092773,0.5633712410926819
CL97.AG,0.5631039142608643,-0.36666056513786316,0.35368025302886963,0.13352122902870178,-0.08846411854028702,-0.2758237421512604,0.28910428285598755,-0.45999619364738464,-0.2540189027786255,-0.0918617695569992
SZ12.AG,9.169833183288574,-2.380192756652832,0.6973941922187805,0.8265151381492615,0.7599632143974304,0.7668410539627075,0.43505898118019104,-6.987788200378418,-5.895712852478027,-1.2194174528121948
SZ13.AG,9.216114044189453,-5.466196537017822,0.5814453959465027,0.561661422252655,-3.8546488285064697,4.087026596069336,0.9957244992256165,-5.789811134338379,-4.522854328155518,0.12395738065242767
SZ14.AG,4.0559868812561035,-2.1975183486938477,2.345116376876831,0.6799584031105042,0.21348027884960175,1.2581745386123657,0.9622506499290466,-3.339667320251465,-3.0257925987243652,-1.18885338306427
SZ16.AG,8.592971801757812,-4.140528202056885,0.023928754031658173,1.5692259073257446,-0.6922048926353455,0.995184600353241,-0.5532488822937012,-5.0210981369018555,-3.718597412109375,0.13148576021194458
SZ18.AG,10.693944931030273,1.0228928327560425,2.6804020404815674,-5.817745685577393,-1.4178485870361328,-1.4752084016799927,2.134516716003418,-7.763318061828613,-2.9618804454803467,-1.9414728879928589
SZ19.AG,14.763656616210938,10.206674575805664,7.284125804901123,1.0068796873092651,1.6716647148132324,-1.9220075607299805,1.2650196552276611,-2.760596752166748,-2.4141783714294434,-1.7149752378463745
SZ22.AG,8.368204116821289,-2.805933713912964,-0.09418321400880814,0.6073303818702698,-1.6539006233215332,2.7921886444091797,0.07535582035779953,-5.860274791717529,-4.777205467224121,0.2527357339859009
