genetic_id,group_id,country,lat,lon,date_bp,data_type,alpha_Nea,alpha_adj,alpha_SE,alpha_nSNP,high_conf,expected_Nea,residual_Nea,z_resid,sigma_bio_local,se_expected,n_neighbors_eff,D_Nea_Z,D_Den_Z,flags
CL25.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,Italy,45.0792,7.5783,1350.0,AG,0.012803,0.014003364756787673,0.00631,310760,True,0.01970342152169252,-0.005700056764904848,-0.9003089521154328,0.0,0.000517962314604951,76.57751659182215,1.503,-0.455,
CL30.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,Italy,45.0792,7.5783,1350.0,AG,0.017708,0.018908364756787675,0.005866,369062,True,0.019221908236595,-0.0003135434798073253,-0.05322193789905637,0.0,0.0005448050983220626,76.58404566330192,2.685,-1.895,
CL36.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,Italy,45.0792,7.5783,1350.0,AG,0.018226,0.019426364756787672,0.006201,303332,True,0.021512933357847777,-0.002086568601060105,-0.33519742585664886,0.0,0.0005448945828639133,76.20459526207785,2.904,0.1,
CL38.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,Italy,45.0792,7.5783,1350.0,AG,0.017865,0.019065364756787672,0.005289,336117,True,0.01866611913870727,0.0003992456180804023,0.07508288943000564,0.0,0.0005488189034899648,76.15232638928723,2.691,-0.341,
CL47.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,Italy,45.0792,7.5783,1350.0,AG,0.012599,0.013799364756787674,0.005352,347528,True,0.020829238949415796,-0.007029874192628122,-1.3087256785009413,0.0,0.0004577698685732307,76.46591337334547,1.869,-0.823,
CL49.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,Italy,45.0792,7.5783,1350.0,AG,0.010165,0.011365364756787674,0.009519,139078,False,0.02085091803498076,-0.009485553278193087,-0.9946053518668769,0.0,0.0005857022049592415,77.72622795159944,1.56,0.596,questionable
CL53.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,Italy,45.0792,7.5783,1350.0,AG,0.024608,0.025808364756787674,0.007448,149704,False,0.021480580185703563,0.004327784571084112,0.5796945171625703,0.0,0.0005127591667720405,77.83787421481817,1.786,0.886,
CL57.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,Italy,45.0792,7.5783,1350.0,AG,0.021366,0.022566364756787673,0.005739,348314,True,0.021494128384322624,0.001072236372465049,0.186129396739391,0.0,0.0004995901597846581,76.1570033500912,3.109,0.383,
CL63.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,Italy,45.0792,7.5783,1350.0,AG,0.018979,0.020179364756787672,0.005641,376123,True,0.020920687476146442,-0.0007413227193587696,-0.13069027934268412,0.0,0.0005956695811686042,76.55200112357146,2.748,-0.889,
CL83.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.020509,0.021709364756787673,0.006958,316255,True,0.020938329527081277,0.000771035229706396,0.11048287106513777,0.0,0.000538101360341802,76.99639191385216,3.435,0.278,
