genetic_id,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
I4432.AG,0.031164,0.005923,323575,0.022219,0.004801,4.628,711332,0.007595,0.006951,1.093,389457
I4434.AG,0.0193,0.005349,323170,0.01579,0.005327,2.964,710349,-0.002126,0.006676,-0.318,388040
I4435.AG,0.020377,0.005964,322073,0.015172,0.00558,2.719,707965,0.001163,0.006994,0.166,387618
I4436.AG,0.018012,0.005278,326742,0.019419,0.004364,4.45,716463,0.000653,0.006506,0.1,389328
I4437.AG,0.023328,0.006274,323777,0.022833,0.005476,4.17,711749,0.005251,0.006646,0.79,388361
I4438.AG,0.018395,0.005173,328519,0.015289,0.005346,2.86,722117,0.002292,0.006098,0.376,393252
I4439.AG,0.023377,0.005835,328752,0.018017,0.004964,3.63,722405,-0.005991,0.005875,-1.02,394605
I4440.AG,0.016478,0.005416,319960,0.016528,0.004402,3.755,701657,-0.006425,0.006031,-1.065,381626
I4441.AG,0.020141,0.005284,324198,0.017587,0.004377,4.018,712122,-0.000195,0.005909,-0.033,388627
I4517.AG,0.018377,0.00647,190614,0.012809,0.005772,2.219,419026,-0.010646,0.008469,-1.257,229075
I4930.AG,0.042718,0.020147,18831,0.030646,0.014571,2.103,40204,-0.014472,0.026819,-0.54,21300
I5208.AG,0.020339,0.005547,398894,0.012364,0.004442,2.784,868772,-0.006581,0.006199,-1.062,465438
I5228.AG,-0.011524,0.025366,15905,-0.008323,0.018174,-0.458,33842,-0.006976,0.026452,-0.264,17855
I5358.AG,0.010756,0.00818,110545,0.010374,0.006971,1.488,241220,0.012395,0.009686,1.28,129400
I5359.AG,0.027809,0.006369,234364,0.022522,0.005265,4.278,514605,-0.005406,0.006504,-0.831,278041
I5365.AG,0.009584,0.010148,53623,0.004097,0.009617,0.426,118374,-0.005203,0.013463,-0.386,64279
I5366.AG,0.020909,0.00741,256511,0.018477,0.005939,3.111,562733,0.0004,0.007855,0.051,303386
I5367.AG,0.018104,0.007843,331325,0.015462,0.006137,2.52,728176,-0.002662,0.005694,-0.467,396821
I5370.AG,-0.017585,0.017583,22994,-0.004472,0.014405,-0.31,49917,0.018527,0.020187,0.918,26957
