"target","Anatolia_N","Yamnaya","WHG","p"
"Etruscan",0.619192588871394,0.232629842296119,0.148177568832487,3.9799800922998e-14
"Latin",0.683660484771988,0.290237827610078,0.0261016876179344,9.64362906996921e-06
"ImperialRoman",0.639673049834032,0.316760312783704,0.0435666373822641,1.09194269687291e-56
"ItalyBA",0.802646645287005,0.070830105650761,0.126523249062234,2.12063315559405e-08
