"target","Anatolia_N","Yamnaya","WHG","Iran_N","p"
"Etruscan",0.620147511164431,0.325077901839573,-0.111416120469769,0.166190707465765,1.0923252836599e-06
"Latin",0.622400346464515,0.253854318204714,-0.000932545178902059,0.124677880509673,2.97622310012908e-05
"ImperialRoman",0.520773143529181,0.334461337053544,-0.254042722228793,0.398808241646068,4.96580355970856e-05
"ItalyBA",0.760274434960691,-0.0246301381703101,0.283854803397105,-0.0194991001874859,1.06923016770729e-08
