genetic_id	excluded_chromosome	generations
RNI013.SG	1	57.29467316643144
RNI013.SG	2	59.45337145180375
RNI013.SG	3	55.32576152612336
RNI013.SG	4	56.57460937562082
RNI013.SG	5	56.40346749793591
RNI013.SG	6	62.15215699322937
RNI013.SG	7	56.007821052508355
RNI013.SG	8	56.643815931808845
RNI013.SG	9	53.318466110025255
RNI013.SG	10	45.56331801489834
RNI013.SG	11	56.608399274388155
RNI013.SG	12	56.67301006909981
RNI013.SG	13	55.06712134076149
RNI013.SG	14	56.46111076475281
RNI013.SG	15	55.9596256261533
RNI013.SG	16	59.79511411733318
RNI013.SG	17	55.67415084293941
RNI013.SG	18	55.388832371245904
RNI013.SG	19	55.95562230443505
RNI013.SG	20	53.78323215014236
RNI013.SG	21	55.79911935946426
RNI013.SG	22	55.47766853065321
ZKU002.SG	1	117.34305986674073
ZKU002.SG	2	123.92424635814373
ZKU002.SG	3	124.90895856832418
ZKU002.SG	4	128.4761774126291
ZKU002.SG	5	124.67194748176307
ZKU002.SG	6	143.61215444724832
ZKU002.SG	7	125.56538947570225
ZKU002.SG	8	128.71161122110547
ZKU002.SG	9	107.37810493260106
ZKU002.SG	10	125.04101383626657
ZKU002.SG	11	124.03125607880499
ZKU002.SG	12	117.48852602126296
ZKU002.SG	13	129.83003594617338
ZKU002.SG	14	125.49513777688797
ZKU002.SG	15	125.6630965220718
ZKU002.SG	16	121.21863253056372
ZKU002.SG	17	125.17026780025577
ZKU002.SG	18	125.32547788104029
ZKU002.SG	19	125.51685500401999
ZKU002.SG	20	127.12974619263798
ZKU002.SG	21	125.12932529266016
ZKU002.SG	22	124.90169456921562
